trace_serial	track	page	address	visible_or_opaque_form	forward_1_segment	forward_2_minimal_card	forward_3_owner_or_namespace	forward_4_licensed_source_slots	forward_5_selected_unit_vocabulary	forward_6_spoken_action	backward_1_required_address	backward_2_required_card_or_group	backward_recovery	concrete_content_without_owner_or_local_source
172	A3	f69v	f69v.3:15	A3:G093	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 15 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:15	A3:G093	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
173	A3	f69v	f69v.3:16	A3:G094	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 16 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:16	A3:G094	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
174	A3	f69v	f69v.3:17	A3:G095	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 17 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:17	A3:G095	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
175	A3	f69v	f69v.3:18	A3:G096	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 18 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:18	A3:G096	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
176	A3	f69v	f69v.3:19	A3:G097	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 19 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:19	A3:G097	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
177	A3	f69v	f69v.3:20	A3:G098	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 20 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:20	A3:G098	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
178	A3	f69v	f69v.3:21	A3:G099	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 21 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:21	A3:G099	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
179	A3	f69v	f69v.3:22	A3:G100	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 22 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:22	A3:G100	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
180	A3	f69v	f69v.3:23	A3:G101	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 23 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:23	A3:G101	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
181	A3	f69v	f69v.3:24	A3:G102	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 24 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:24	A3:G102	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
182	A3	f69v	f69v.3:25	A3:G103	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 25 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:25	A3:G103	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
183	A3	f69v	f69v.3:26	A3:G104	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 26 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:26	A3:G104	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
184	A3	f69v	f69v.3:27	A3:G105	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 27 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:27	A3:G105	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
185	A3	f69v	f69v.3:28	A3:G106	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 28 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:28	A3:G106	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
186	A3	f69v	f69v.3:29	A3:G107	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_RIGHT_WHEEL_RING_TEXT @ A3_RIGHT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 29 am Besitzer A3_RIGHT_WHEEL_RING_TEXT. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.3:29	A3:G107	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
187	A3	f69v	f69v.4:1	A3:G108	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_01 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_01. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.4:1	A3:G108	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
188	A3	f69v	f69v.4:2	A3:G109	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_01 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 2 am Besitzer A3_LEFT_RADIAL_SLOT_01. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.4:2	A3:G109	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
189	A3	f69v	f69v.5:1	A3:G110	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_02 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_02. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.5:1	A3:G110	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
190	A3	f69v	f69v.5:2	A3:G111	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_02 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 2 am Besitzer A3_LEFT_RADIAL_SLOT_02. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.5:2	A3:G111	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
191	A3	f69v	f69v.6:1	A3:G112	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_03 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_03. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.6:1	A3:G112	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
192	A3	f69v	f69v.7:1	A3:G113	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_04 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_04. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.7:1	A3:G113	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
193	A3	f69v	f69v.8:1	A3:G114	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_05 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_05. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.8:1	A3:G114	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
194	A3	f69v	f69v.9:1	A3:G115	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_06 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_06. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.9:1	A3:G115	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
195	A3	f69v	f69v.10:1	A3:G116	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_07 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_07. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.10:1	A3:G116	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
196	A3	f69v	f69v.11:1	A3:G117	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_08 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_08. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.11:1	A3:G117	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
197	A3	f69v	f69v.12:1	A3:G118	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_09 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_09. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.12:1	A3:G118	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
198	A3	f69v	f69v.13:1	A3:G119	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_10 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_10. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.13:1	A3:G119	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
199	A3	f69v	f69v.14:1	A3:G120	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_11 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_11. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.14:1	A3:G120	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
200	A3	f69v	f69v.15:1	A3:G121	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_12 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_12. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.15:1	A3:G121	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
201	A3	f69v	f69v.16:1	A3:G122	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_13 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_13. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.16:1	A3:G122	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
202	A3	f69v	f69v.17:1	A3:G123	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_14 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_14. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.17:1	A3:G123	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
203	A3	f69v	f69v.18:1	A3:G124	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_15 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_15. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.18:1	A3:G124	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
204	A3	f69v	f69v.19:1	A3:G125	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_16 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_16. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.19:1	A3:G125	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
205	A3	f69v	f69v.20:1	A3:G126	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_17 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_17. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.20:1	A3:G126	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
206	A3	f69v	f69v.21:1	A3:G127	OPAQUE_LOCAL_GROUP	LOCAL_NOMENCLATOR_ENTRY	A3_LEFT_RADIAL_SLOT_18 @ A3_LEFT_WHEEL_ONLY	LOCAL_LABEL;CALENDAR_VALUE;WEATHER_VALUE;LIGHT_VALUE;PLANET_VALUE;QUALITY_VALUE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	Kopiere Gruppe 1 am Besitzer A3_LEFT_RADIAL_SLOT_18. Schlage den vollständigen Wert nur im lokalen Instrumentenexemplar nach.	f69v.21:1	A3:G127	EXACT_WITH_LOCAL_EXEMPLAR_AND_ADDRESS	NOT_AVAILABLE
