sequence	statement_id	record_id	page	surface_sequence	atom_sequence	literal_visible_reading_de	memory_values_restored	owner_expansion_de	active_expansion_de	target_expansion_de	previous_expansion_de	fully_explicit_apprentice_sentence_de	fluent_workshop_sentence_de	macro_program	what_remains_learned
103	B4-S007	B4	f83r	shckhedy	CKHE+CLOSE	seihen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-3	Zielstelle B4-4	Vorposten B4-2	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-3; die geltende Zieladresse ist Zielstelle B4-4; ‚das Vorige‘ bezeichnet Vorposten B4-2. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Seihe es einmal durch ein Tuch und beende den Schritt.	SINGLE_STRAIN[B4-S007-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
104	B4-S008	B4	f83r	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	Sollmaß; länger erwärmen und offen halten; laenger ruhen; kurz ansetzen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-3	Zielstelle B4-5	Vorposten B4-2	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-3; die geltende Zieladresse ist Zielstelle B4-5; ‚das Vorige‘ bezeichnet Vorposten B4-2. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Solange es noch warm ist. Die erste Öffnung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Solange es noch warm ist. Die erste Öffnung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	SINGLE_WARM[B4-S008-U01] | SINGLE_HOLD[B4-S008-U02] | SINGLE_SET[B4-S008-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
105	B4-S009	B4	f83r	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-4	Zielstelle B4-7	Vorposten B4-3	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-4; die geltende Zieladresse ist Zielstelle B4-7; ‚das Vorige‘ bezeichnet Vorposten B4-3. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	SINGLE_SETTLE[B4-S009-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
106	B4-S010	B4	f83r	oldy	OL+CLOSE	Fortsetzung abschließen	OWNER|ACTIVE|TARGET|PREVIOUS	dem verbundenen Hauptbogenpaar	Arbeitsposten B4-4	Zielstelle B4-7	Vorposten B4-3	Der Text gehört zu dem verbundenen Hauptbogenpaar; der laufende Gegenstand ist Arbeitsposten B4-4; die geltende Zieladresse ist Zielstelle B4-7; ‚das Vorige‘ bezeichnet Vorposten B4-3. [[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	SINGLE_CONTINUE[B4-S010-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
107	B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	Sollmaß; kurz wärmen; länger fortführen; eine Portion zugeben; laufenden Posten umsetzen; fortsetzen; kurz abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der linken offenen Randstation	Arbeitsposten B4-4	Zielstelle B4-7	Vorposten B4-3	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-4; die geltende Zieladresse ist Zielstelle B4-7; ‚das Vorige‘ bezeichnet Vorposten B4-3. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Bei sanfter Wärme. Das breite Gefäß. Gib einen abgemessenen Anteil in das Gefäß. Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Wasche zweimal und beende den Schritt.	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Bei sanfter Wärme. Das breite Gefäß. Gib einen abgemessenen Anteil in das Gefäß. Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Wasche zweimal und beende den Schritt.	SINGLE_WARM[B4-S011-U01] | M19[B4-S011-U02+B4-S011-U03] | M03[B4-S011-U04+B4-S011-U05+B4-S011-U06]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
108	B4-S012	B4	f83r	lchedy	L+CHD+CLOSE	abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der linken offenen Randstation	Arbeitsposten B4-5	Zielstelle B4-8	Vorposten B4-4	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-5; die geltende Zieladresse ist Zielstelle B4-8; ‚das Vorige‘ bezeichnet Vorposten B4-4. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	SINGLE_LEAD_OUT[B4-S012-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
109	B4-S013	B4	f83r	qokol shedy	OK+OL | SHED+E+CLOSE	Fortsetzung ansetzen; kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der linken offenen Randstation	Arbeitsposten B4-5	Zielstelle B4-8	Vorposten B4-4	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-5; die geltende Zieladresse ist Zielstelle B4-8; ‚das Vorige‘ bezeichnet Vorposten B4-4. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Lasse die Mischung einlaufen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Lasse die Mischung einlaufen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	M10[B4-S013-U01+B4-S013-U02]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
110	B4-S014	B4	f83r	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	Ansatz; dieser Posten; kurzen Durchlauf ansetzen; Wasserlauf schliessen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der linken offenen Randstation	Arbeitsposten B4-5	Zielstelle B4-8	Vorposten B4-4	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B4-5; die geltende Zieladresse ist Zielstelle B4-8; ‚das Vorige‘ bezeichnet Vorposten B4-4. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Diese aktive Portion. Über der örtlich bezeichneten Stelle. Gebrauche sie sofort und beende den Schritt.	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Diese aktive Portion. Über der örtlich bezeichneten Stelle. Gebrauche sie sofort und beende den Schritt.	SINGLE_SET[B4-S014-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
111	B4-S015	B4	f83r	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	eine Portion zugeben; klarer Auszug; eine Portion; zur Zielstelle durchleiten; kurz sammeln; abführen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der rechten S-förmigen Mehrfachstation	Arbeitsposten B4-6	Zielstelle B4-9	Vorposten B4-5	Der Text gehört zu der rechten S-förmigen Mehrfachstation; der laufende Gegenstand ist Arbeitsposten B4-6; die geltende Zieladresse ist Zielstelle B4-9; ‚das Vorige‘ bezeichnet Vorposten B4-5. [[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Ein abgemessener Anteil. Für die angegebene Dauer. [[STATIONSWECHSEL: linke offene Fransen-/Unterlaufstation -> rechte S-Lauf-/Mehrarmknotenstation; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Öffne danach den oberen Lauf. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	[[LOKALER BESITZER: linke offene Fransen-/Unterlaufstation]] Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Ein abgemessener Anteil. Für die angegebene Dauer. [[STATIONSWECHSEL: linke offene Fransen-/Unterlaufstation -> rechte S-Lauf-/Mehrarmknotenstation; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Öffne danach den oberen Lauf. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	M07[B4-S015-U01+B4-S015-U02] | SINGLE_COLLECT[B4-S015-U03] | SINGLE_LEAD_OUT[B4-S015-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
112	B4-S016	B4	f83r	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	weitere Portion; dorthin; vom Ausgang ausgießen; kurz absetzen lassen; Schluss	OWNER|ACTIVE|TARGET|PREVIOUS	der rechten S-förmigen Mehrfachstation	Arbeitsposten B4-7	Zielstelle B4-10	Vorposten B4-6	Der Text gehört zu der rechten S-förmigen Mehrfachstation; der laufende Gegenstand ist Arbeitsposten B4-7; die geltende Zieladresse ist Zielstelle B4-10; ‚das Vorige‘ bezeichnet Vorposten B4-6. [[LOKALER BESITZER: rechte S-Lauf-/Mehrarmknotenstation]] Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Gieße das erwärmte Wasser ein. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	[[LOKALER BESITZER: rechte S-Lauf-/Mehrarmknotenstation]] Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Gieße das erwärmte Wasser ein. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	SINGLE_CONTINUE[B4-S016-U01] | SINGLE_POUR[B4-S016-U02] | SINGLE_SETTLE[B4-S016-U03]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
113	B5-S001	B5	f83r	otchdy	OT+CHD+CLOSE	Folgegang vollziehen; Schluss	OWNER|ACTIVE	der linken offenen Randstation	Arbeitsposten B5-1	NICHT_BENÖTIGT	NICHT_BENÖTIGT	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B5-1. [[LOKALER BESITZER: linker offener Fransen-Endposten]] Ziehe es ab und beende den Schritt.	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Ziehe es ab und beende den Schritt.	SINGLE_TRANSFER[B5-S001-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
114	B5-S002	B5	f83r	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	OWNER|ACTIVE	der linken offenen Randstation	Arbeitsposten B5-1	NICHT_BENÖTIGT	NICHT_BENÖTIGT	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B5-1. [[LOKALER BESITZER: linker offener Fransen-Endposten]] Erwärme es einmal und beende den Schritt.	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Erwärme es einmal und beende den Schritt.	SINGLE_SET[B5-S002-U01]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
115	B5-S003	B5	f83r	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	dort absetzen; dorthin; fortsetzen; von dort weiterfuehren; dort umsetzen; Sollmaß; fortsetzen; Öffnungsstufe; laufenden Posten umsetzen	OWNER|ACTIVE|TARGET|PREVIOUS	der linken offenen Randstation	Arbeitsposten B5-1	Zielstelle B5-2	Vorposten B5-2	Der Text gehört zu der linken offenen Randstation; der laufende Gegenstand ist Arbeitsposten B5-1; die geltende Zieladresse ist Zielstelle B5-2; ‚das Vorige‘ bezeichnet Vorposten B5-2. [[LOKALER BESITZER: linker offener Fransen-Endposten]] Für einen Zeitabschnitt. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bis es warm ist. Mit der vorigen Mischung. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Die zweite Öffnung. Rühre, bis alles gleichmäßig vermischt ist.	[[LOKALER BESITZER: linker offener Fransen-Endposten]] Für einen Zeitabschnitt. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bis es warm ist. Mit der vorigen Mischung. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Die zweite Öffnung. Rühre, bis alles gleichmäßig vermischt ist.	SINGLE_SETTLE[B5-S003-U01] | M16[B5-S003-U02+B5-S003-U03] | M15[B5-S003-U04+B5-S003-U05] | SINGLE_TRANSFER[B5-S003-U06]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
116	B6-S001	B6	f83r	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	länger sammeln; aktuellen Posten kurz bearbeiten; diesen Posten dorthin; fortsetzen; Sollmaß; fortsetzen; Tuch; dieser Posten; Endziel	OWNER|ACTIVE|TARGET|PREVIOUS	der rechten S-förmigen Mehrfachstation	Arbeitsposten B6-1	Zielstelle B6-4	Vorposten B6-2	Der Text gehört zu der rechten S-förmigen Mehrfachstation; der laufende Gegenstand ist Arbeitsposten B6-1; die geltende Zieladresse ist Zielstelle B6-4; ‚das Vorige‘ bezeichnet Vorposten B6-2. [[LOKALER BESITZER: rechter S-Lauf-/Mehrarm-Endposten]] Richte die bezeichnete Beckenstation ein. Ohne Kochen. Die erste Öffnung. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Durch ein Tuch. Diese aktive Portion. An der bezeichneten Stelle.	[[LOKALER BESITZER: rechter S-Lauf-/Mehrarm-Endposten]] Richte die bezeichnete Beckenstation ein. Ohne Kochen. Die erste Öffnung. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Durch ein Tuch. Diese aktive Portion. An der bezeichneten Stelle.	SINGLE_COLLECT[B6-S001-U01] | SINGLE_PROCESS[B6-S001-U02] | M20[B6-S001-U03+B6-S001-U04]	BILDOWNER_UND_LOKALER_GANZKARTENINHALT
