body	head_occupancy	heads	forms	occurrences_by_head	total_headed_occurrences	pages_by_head	loci_by_head	reader_exact_by_head	bare_body_occurrences	exact_v11_dictionary_body
okol	1	s	p:-|s:sokol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	53	0
okoly	1	s	p:-|s:sokoly|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	3	0
okyd	1	r	p:-|s:-|r:rokyd|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	1	0
olairy	1	p	p:polairy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olalchdy	1	p	p:polalchdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olarol	1	s	p:-|s:solarol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
olchal	1	p	p:polchal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
olchd	1	s	p:-|s:solchd|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
olchechy	1	p	p:polchechy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olcheol	1	s	p:-|s:solcheol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	5	0
olcheolkain	1	p	p:polcheolkain|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olchiyd	1	s	p:-|s:solchiyd|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
olchkal	1	s	p:-|s:solchkal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
olchls	1	p	p:polchls|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olchoy	1	p	p:polchoy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
olchs	1	p	p:polchs|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olcthy	1	s	p:-|s:solcthy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
old	1	s	p:-|s:sold|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	3	0
oldaky	1	p	p:poldaky|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oldam	1	s	p:-|s:soldam|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	4	0
oldarais	1	p	p:poldarais|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oldchody	1	p	p:poldchody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oldshedy	1	p	p:poldshedy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oleedaran	1	p	p:poleedaran|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oleeg	1	s	p:-|s:soleeg|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
oleeol	1	p	p:poleeol|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	2	0
oleesos	1	s	p:-|s:soleesos|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
olkair	1	l	p:-|s:-|r:-|l:lolkair	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
olkam	1	s	p:-|s:solkam|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	11	1
olkchedy	1	s	p:-|s:solkchedy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	4	0
olkchy	1	s	p:-|s:solkchy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	3	0
olkeedal	1	p	p:polkeedal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	1	0
olkeeey	1	p	p:polkeeey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	11	0
olkeeo	1	p	p:polkeeo|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	4	0
olkeol	1	l	p:-|s:-|r:-|l:lolkeol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	7	0
olkey	1	s	p:-|s:solkey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	12	0
olkiin	1	p	p:polkiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
ollaiin	1	p	p:pollaiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	1	0
olom	1	l	p:-|s:-|r:-|l:lolom	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
olos	1	p	p:polos|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	2	0
olpchd	1	s	p:-|s:solpchd|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
olsairy	1	p	p:polsairy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
olshdal	1	p	p:polshdal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olshdy	1	p	p:polshdy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	3	0
olshed	1	s	p:-|s:solshed|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
olshedaiin	1	p	p:polshedaiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
olsheedy	1	r	p:-|s:-|r:rolsheedy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	1	0
olsheol	1	s	p:-|s:solsheol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	3	0
olsheor	1	s	p:-|s:solsheor|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
olshol	1	p	p:polshol|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olshor	1	p	p:polshor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olsy	1	s	p:-|s:solsy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	2	0
oltain	1	r	p:-|s:-|r:roltain|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	2	0
olteedy	1	s	p:-|s:solteedy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	3	0
olteshol	1	p	p:polteshol|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
olyshy	1	p	p:polyshy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oo	1	s	p:-|s:soo|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	1	0
ooin	1	l	p:-|s:-|r:-|l:looin	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
oraiiidy	1	p	p:poraiiidy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
oraiir	1	l	p:-|s:-|r:-|l:loraiir	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
orair	1	p	p:porair|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	3	0
oralody	1	l	p:-|s:-|r:-|l:loralody	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	1	0
orar	1	p	p:porar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	7	0
orarchy	1	p	p:porarchy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
orarol	1	r	p:-|s:-|r:rorarol|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	1	0
orarydaiin	1	r	p:-|s:-|r:rorarydaiin|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
orcheey	1	r	p:-|s:-|r:rorcheey|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	1	0
orchey	1	p	p:porchey|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	3	0
oro	1	p	p:poro|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	4	0
orols	1	s	p:-|s:sorols|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
ororl	1	s	p:-|s:sororl|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
orory	1	s	p:-|s:sorory|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
orshey	1	s	p:-|s:sorshey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
orshols	1	p	p:porshols|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
orshy	1	s	p:-|s:sorshy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	2	0
osair	1	l	p:-|s:-|r:-|l:losair	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
osairy	1	p	p:posairy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
osalshy	1	p	p:posalshy|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
osam	1	s	p:-|s:sosam|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
osar	1	s	p:-|s:sosar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
oseer	1	r	p:-|s:-|r:roseer|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
oshckhy	1	r	p:-|s:-|r:roshckhy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
osheor	1	p	p:posheor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
osheos	1	p	p:posheos|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
oshody	1	p	p:poshody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
ossheody	1	p	p:possheody|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	0	0
osy	1	r	p:-|s:-|r:rosy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	0	0
otal	1	l	p:-|s:-|r:-|l:lotal	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	119	0
otar	1	l	p:-|s:-|r:-|l:lotar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	123	0
otchaiin	1	s	p:-|s:sotchaiin|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
otchdaiin	1	s	p:-|s:sotchdaiin|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
otchokor	1	p	p:potchokor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
otchy	1	s	p:-|s:sotchy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	40	0
otedaiin	1	l	p:-|s:-|r:-|l:lotedaiin	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	1	0
oteol	1	s	p:-|s:soteol|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	26	0
otey	1	s	p:-|s:sotey|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	42	0
otodan	1	s	p:-|s:sotodan|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
otoiiin	1	s	p:-|s:sotoiiin|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
otor	1	l	p:-|s:-|r:-|l:lotor	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	33	0
otydy	1	r	p:-|s:-|r:rotydy|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	3	0
oydy	1	s	p:-|s:soydy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
oysar	1	s	p:-|s:soysar|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
paim	1	l	p:-|s:-|r:-|l:lpaim	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
pair	1	l	p:-|s:-|r:-|l:lpair	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	4	0
par	1	l	p:-|s:-|r:-|l:lpar	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	6	0
pchdain	1	l	p:-|s:-|r:-|l:lpchdain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
pcheedy	1	l	p:-|s:-|r:-|l:lpcheedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
pchees	1	l	p:-|s:-|r:-|l:lpchees	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
pcheo	1	l	p:-|s:-|r:-|l:lpcheo	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
pchy	1	s	p:-|s:spchy|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	2	0
pychol	1	l	p:-|s:-|r:-|l:lpychol	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
qokeodaiin	1	s	p:-|s:sqokeodaiin|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	0	0
raly	1	l	p:-|s:-|r:-|l:lraly	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	3	0
ray	1	l	p:-|s:-|r:-|l:lray	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
ror	1	l	p:-|s:-|r:-|l:lror	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	12	0
sair	1	l	p:-|s:-|r:-|l:lsair	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	22	0
salar	1	p	p:psalar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	1	0
san	1	l	p:-|s:-|r:-|l:lsan	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
seeey	1	l	p:-|s:-|r:-|l:lseeey	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
sh	1	l	p:-|s:-|r:-|l:lsh	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	14	0
shaiir	1	l	p:-|s:-|r:-|l:lshaiir	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
shalshy	1	l	p:-|s:-|r:-|l:lshalshy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
shckhy	1	l	p:-|s:-|r:-|l:lshckhy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	51	0
shcthy	1	l	p:-|s:-|r:-|l:lshcthy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	29	1
shd	1	l	p:-|s:-|r:-|l:lshd	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	7	0
shdal	1	p	p:pshdal|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	4	0
sheal	1	r	p:-|s:-|r:rsheal|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	14	0
shechy	1	l	p:-|s:-|r:-|l:lshechy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	2	0
sheckhedy	1	l	p:-|s:-|r:-|l:lsheckhedy	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	4	0
shedaiin	1	p	p:pshedaiin|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	10	0
shedar	1	p	p:pshedar|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	8	0
shedary	1	l	p:-|s:-|r:-|l:lshedary	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	0	0
shee	1	l	p:-|s:-|r:-|l:lshee	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	11	0
sheedain	1	l	p:-|s:-|r:-|l:lsheedain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	1	0
sheedal	1	s	p:-|s:ssheedal|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	1	0
sheedar	1	r	p:-|s:-|r:rsheedar|l:-	p:0|s:0|r:1|l:0	1	p:0|s:0|r:1|l:0	p:0|s:0|r:1|l:0	p:0|s:0|r:0|l:0	1	0
shees	1	l	p:-|s:-|r:-|l:lshees	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:0	6	0
sheessheeor	1	p	p:psheessheeor|s:-|r:-|l:-	p:1|s:0|r:0|l:0	1	p:1|s:0|r:0|l:0	p:1|s:0|r:0|l:0	p:0|s:0|r:0|l:0	0	0
sheetal	1	l	p:-|s:-|r:-|l:lsheetal	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	0	0
shekain	1	l	p:-|s:-|r:-|l:lshekain	p:0|s:0|r:0|l:1	1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	p:0|s:0|r:0|l:1	3	0
sheky	1	s	p:-|s:ssheky|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:0|r:0|l:0	28	0
sheodain	1	s	p:-|s:ssheodain|r:-|l:-	p:0|s:1|r:0|l:0	1	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	p:0|s:1|r:0|l:0	0	0
