change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
59	G407-E0220	G407-S008	f10r	HERBAL	NONSTATE_CARD	chopchal	CH+O+P+CH+AL	1	2	2	Nimm denselben Pflanzenposten, setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Zielstelle; als Ausführung.	Nimm denselben Pflanzenposten, setze ihn ein und nimm ihn; zur Zielstelle; als Ausführung.	Nimm denselben Pflanzenposten, setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Zielstelle; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
60	G407-E0221	G407-S008	f10r	HERBAL	NONSTATE_CARD	ypch	Y+P+CH	1	1	1	Setze den Pflanzenposten ein und nimm den Pflanzenposten.	Setze den Pflanzenposten ein und nimm ihn.	Setze den Pflanzenposten ein und nimm den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
61	G407-E0224	G407-S008	f10r	HERBAL	NONSTATE_CARD	cthoor	CH+T+O+OR	1	1	1	Nimm die Arbeitseinheit und stelle die Arbeitseinheit ein; als Ausführung.	Nimm die Arbeitseinheit und stelle sie ein; als Ausführung.	Nimm die Arbeitseinheit und stelle die Arbeitseinheit ein; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
62	G407-E0226	G407-S008	f10r	HERBAL	NONSTATE_CARD	chty	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
63	G407-E0229	G407-S008	f10r	HERBAL	STATE_CARD	otytchol	OT+Y+T+CH+OL	1	1	1	Danach: stelle den Pflanzenposten ein und nimm den Pflanzenposten; führe den Gang weiter.	Danach: stelle den Pflanzenposten ein und nimm ihn; führe den Gang weiter.	Danach: stelle den Pflanzenposten ein und nimm den Pflanzenposten; führe den Gang weiter.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
64	G407-E0237	G407-S008	f10r	HERBAL	NONSTATE_CARD	chocthy	CH+O+CH+T+Y	1	2	2	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung.	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
65	G407-E0246	G407-S008	f10r	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
66	G407-E0247	G407-S008	f10r	HERBAL	NONSTATE_CARD	ctho	CH+T+O	1	1	1	Nimm denselben Pflanzenposten und stelle denselben Pflanzenposten ein; als Ausführung.	Nimm denselben Pflanzenposten und stelle ihn ein; als Ausführung.	Nimm denselben Pflanzenposten und stelle denselben Pflanzenposten ein; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
67	G407-E0248	G407-S008	f10r	HERBAL	NONSTATE_CARD	ckhy	CH+K+Y	1	1	1	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	Nimm den Pflanzenposten und gib ihn zu.	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
68	G407-E0251	G407-S008	f10r	HERBAL	NONSTATE_CARD	chtchor	CH+T+CH+OR	1	2	2	Nimm die Arbeitseinheit, stelle die Arbeitseinheit ein und nimm die Arbeitseinheit.	Nimm die Arbeitseinheit, stelle sie ein und nimm sie.	Nimm die Arbeitseinheit, stelle die Arbeitseinheit ein und nimm die Arbeitseinheit.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
69	G407-E0257	G407-S009	f10r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
70	G407-E0258	G407-S009	f10r	HERBAL	NONSTATE_CARD	ycheor	Y+CH+E+O+R	1	1	1	Nimm den Pflanzenposten und markiere den Pflanzenposten; auf Grad I und als Ausführung.	Nimm den Pflanzenposten und markiere ihn; auf Grad I und als Ausführung.	Nimm den Pflanzenposten und markiere den Pflanzenposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
71	G407-E0259	G407-S009	f10r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
72	G407-E0261	G407-S009	f10r	HERBAL	NONSTATE_CARD	cthaiin	CH+T+AIIN	1	1	1	Nimm den Arbeitswert und stelle den Arbeitswert ein.	Nimm den Arbeitswert und stelle ihn ein.	Nimm den Arbeitswert und stelle den Arbeitswert ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
73	G407-E0262	G407-S009	f10r	HERBAL	STATE_CARD	qoctholy	CARRIER_Q+O+CH+T+OL+Y	1	1	1	Weiter: nimm den Pflanzenposten und stelle den Pflanzenposten ein; als neuen Einsatz und als Ausführung.	Weiter: nimm den Pflanzenposten und stelle ihn ein; als neuen Einsatz und als Ausführung.	Weiter: nimm den Pflanzenposten und stelle den Pflanzenposten ein; als neuen Einsatz und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
74	G407-E0270	G407-S009	f10r	HERBAL	NONSTATE_CARD	kchaiin	K+CH+AIIN	1	1	1	Gib den Arbeitswert zu und nimm den Arbeitswert.	Gib den Arbeitswert zu und nimm ihn.	Gib den Arbeitswert zu und nimm den Arbeitswert.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
75	G407-E0273	G407-S009	f10r	HERBAL	NONSTATE_CARD	cth	CH+T	1	1	1	Nimm denselben Arbeitswert und stelle denselben Arbeitswert ein.	Nimm denselben Arbeitswert und stelle ihn ein.	Nimm denselben Arbeitswert und stelle denselben Arbeitswert ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
76	G407-E0285	G407-S009	f10r	HERBAL	NONSTATE_CARD	oykchor	O+Y+K+CH+OR	2	2	2	Gib den Pflanzenposten und die Arbeitseinheit zu und nimm den Pflanzenposten und die Arbeitseinheit; als Ausführung.	Gib den Pflanzenposten und die Arbeitseinheit zu und nimm ihn und sie; als Ausführung.	Gib den Pflanzenposten und die Arbeitseinheit zu und nimm den Pflanzenposten und die Arbeitseinheit; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
77	G407-E0295	G407-S009	f10r	HERBAL	NONSTATE_CARD	cthor	CH+T+OR	1	1	1	Nimm die Arbeitseinheit und stelle die Arbeitseinheit ein.	Nimm die Arbeitseinheit und stelle sie ein.	Nimm die Arbeitseinheit und stelle die Arbeitseinheit ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
78	G407-E0298	G407-S009	f10r	HERBAL	STATE_CARD	otchoshor	OT+CH+O+SH+OR	1	1	1	Danach: nimm die Arbeitseinheit und halte die Arbeitseinheit; als Ausführung.	Danach: nimm die Arbeitseinheit und halte sie; als Ausführung.	Danach: nimm die Arbeitseinheit und halte die Arbeitseinheit; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
79	G407-E0301	G407-S009	f10r	HERBAL	NONSTATE_CARD	cthyd	CH+T+Y+D_ADDR	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; an der bezeichneten Stelle.	Nimm den Pflanzenposten und stelle ihn ein; an der bezeichneten Stelle.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
80	G407-E0311	G407-S010	f11r	HERBAL	NONSTATE_CARD	cphy	CH+P+Y	1	1	1	Nimm den Pflanzenposten und setze den Pflanzenposten ein.	Nimm den Pflanzenposten und setze ihn ein.	Nimm den Pflanzenposten und setze den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
81	G407-E0313	G407-S010	f11r	HERBAL	STATE_CARD	tchody	T+CH+O+DY	1	1	1	Stelle denselben Pflanzenposten ein und nimm denselben Pflanzenposten; als Ausführung; schließe den Schritt.	Stelle denselben Pflanzenposten ein und nimm ihn; als Ausführung; schließe den Schritt.	Stelle denselben Pflanzenposten ein und nimm denselben Pflanzenposten; als Ausführung; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
82	G407-E0315	G407-S011	f11r	HERBAL	NONSTATE_CARD	socthody	S+O+CH+T+O+D_ADDR+Y	1	2	2	Wähle den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Wähle den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	Wähle den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
83	G407-E0318	G407-S011	f11r	HERBAL	NONSTATE_CARD	kshy	K+SH+Y	1	1	1	Gib den Pflanzenposten zu und halte den Pflanzenposten.	Gib den Pflanzenposten zu und halte ihn.	Gib den Pflanzenposten zu und halte den Pflanzenposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
84	G407-E0326	G407-S011	f11r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
85	G407-E0328	G407-S011	f11r	HERBAL	NONSTATE_CARD	ykychy	Y+K+Y+CH+Y	1	1	1	Gib den äußeren Pflanzenposten, den inneren Pflanzenposten und den Pflanzenposten auf Stufe drei zu und nimm den äußeren Pflanzenposten, den inneren Pflanzenposten und den Pflanzenposten auf Stufe drei.	Gib den äußeren Pflanzenposten, den inneren Pflanzenposten und den Pflanzenposten auf Stufe drei zu und nimm den äußeren Pflanzenposten, den inneren Pflanzenposten und ihn auf Stufe drei.	Gib den äußeren Pflanzenposten, den inneren Pflanzenposten und den Pflanzenposten auf Stufe drei zu und nimm den äußeren Pflanzenposten, den inneren Pflanzenposten und den Pflanzenposten auf Stufe drei.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
86	G407-E0345	G407-S011	f11r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
87	G407-E0356	G407-S011	f11r	HERBAL	NONSTATE_CARD	ykchor	Y+K+CH+OR	2	2	2	Gib den Pflanzenposten und die Arbeitseinheit zu und nimm den Pflanzenposten und die Arbeitseinheit.	Gib den Pflanzenposten und die Arbeitseinheit zu und nimm ihn und sie.	Gib den Pflanzenposten und die Arbeitseinheit zu und nimm den Pflanzenposten und die Arbeitseinheit.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
88	G407-E0359	G407-S011	f11r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
89	G407-E0364	G407-S011	f11r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
90	G407-E0372	G407-S012	f13r	HERBAL	NONSTATE_CARD	opchor	O+P+CH+OR	1	1	1	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung.	Setze die Arbeitseinheit ein und nimm sie; als Ausführung.	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
91	G407-E0378	G407-S012	f13r	HERBAL	NONSTATE_CARD	shkchy	SH+K+Y	1	1	1	Halte den Pflanzenposten und gib den Pflanzenposten zu.	Halte den Pflanzenposten und gib ihn zu.	Halte den Pflanzenposten und gib den Pflanzenposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
92	G407-E0408	G407-S013	f13r	HERBAL	NONSTATE_CARD	tchor	T+CH+OR	1	1	1	Stelle die Arbeitseinheit ein und nimm die Arbeitseinheit.	Stelle die Arbeitseinheit ein und nimm sie.	Stelle die Arbeitseinheit ein und nimm die Arbeitseinheit.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
93	G407-E0413	G407-S013	f13r	HERBAL	NONSTATE_CARD	okchor	OK+CH+OR	1	1	1	Setze die Arbeitseinheit im Arbeitsgang an und nimm die Arbeitseinheit.	Setze die Arbeitseinheit im Arbeitsgang an und nimm sie.	Setze die Arbeitseinheit im Arbeitsgang an und nimm die Arbeitseinheit.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
94	G407-E0415	G407-S013	f13r	HERBAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	Nimm den Pflanzenposten und gib ihn zu.	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
95	G407-E0424	G407-S014	f13r	HERBAL	NONSTATE_CARD	okchor	OK+CH+OR	1	1	1	Setze die Arbeitseinheit im Arbeitsgang an und nimm die Arbeitseinheit.	Setze die Arbeitseinheit im Arbeitsgang an und nimm sie.	Setze die Arbeitseinheit im Arbeitsgang an und nimm die Arbeitseinheit.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
96	G407-E0438	G407-S015	f13r	HERBAL	NONSTATE_CARD	okchal	OK+CH+AL	1	1	1	Setze denselben Pflanzenposten im Arbeitsgang an und nimm denselben Pflanzenposten; zur Zielstelle.	Setze denselben Pflanzenposten im Arbeitsgang an und nimm ihn; zur Zielstelle.	Setze denselben Pflanzenposten im Arbeitsgang an und nimm denselben Pflanzenposten; zur Zielstelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
97	G407-E0449	G407-S019	f17r	HERBAL	NONSTATE_CARD	chop	CH+O+P	1	1	1	Nimm denselben Pflanzenposten und setze denselben Pflanzenposten ein; als Ausführung.	Nimm denselben Pflanzenposten und setze ihn ein; als Ausführung.	Nimm denselben Pflanzenposten und setze denselben Pflanzenposten ein; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
98	G407-E0452	G407-S020	f17r	HERBAL	STATE_CARD	oldckhy	OL+D_ADDR+CH+K+Y	1	1	1	Weiter: nimm den Pflanzenposten und gib den Pflanzenposten zu; an der bezeichneten Stelle.	Weiter: nimm den Pflanzenposten und gib ihn zu; an der bezeichneten Stelle.	Weiter: nimm den Pflanzenposten und gib den Pflanzenposten zu; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
99	G407-E0457	G407-S020	f17r	HERBAL	STATE_CARD	ckhody	CH+K+O+DY	1	1	1	Nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; als Ausführung; schließe den Schritt.	Nimm denselben Pflanzenposten und gib ihn zu; als Ausführung; schließe den Schritt.	Nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; als Ausführung; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
100	G407-E0460	G407-S021	f17r	HERBAL	NONSTATE_CARD	qodcthy	O+D_ADDR+CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung; an der bezeichneten Stelle.	Nimm den Pflanzenposten und stelle ihn ein; als Ausführung; an der bezeichneten Stelle.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
101	G407-E0468	G407-S021	f17r	HERBAL	NONSTATE_CARD	okchom	OK+CH+O+AM_ADDR	1	1	1	Setze dieselbe Arbeitseinheit im Arbeitsgang an und nimm dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	Setze dieselbe Arbeitseinheit im Arbeitsgang an und nimm sie; als Ausführung; an der bezeichneten Stelle.	Setze dieselbe Arbeitseinheit im Arbeitsgang an und nimm dieselbe Arbeitseinheit; als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
102	G407-E0469	G407-S021	f17r	HERBAL	NONSTATE_CARD	tcho	T+CH+O	1	1	1	Stelle dieselbe Arbeitseinheit ein und nimm dieselbe Arbeitseinheit; als Ausführung.	Stelle dieselbe Arbeitseinheit ein und nimm sie; als Ausführung.	Stelle dieselbe Arbeitseinheit ein und nimm dieselbe Arbeitseinheit; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
103	G407-E0479	G407-S021	f17r	HERBAL	NONSTATE_CARD	cthy	CH+T+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	Nimm den Pflanzenposten und stelle ihn ein.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
104	G407-E0482	G407-S021	f17r	HERBAL	NONSTATE_CARD	cphor	CH+P+OR	1	1	1	Nimm die Arbeitseinheit und setze die Arbeitseinheit ein.	Nimm die Arbeitseinheit und setze sie ein.	Nimm die Arbeitseinheit und setze die Arbeitseinheit ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
105	G407-E0483	G407-S021	f17r	HERBAL	STATE_CARD	cphaldy	CH+P+AL+DY	1	1	1	Nimm dieselbe Arbeitseinheit und setze dieselbe Arbeitseinheit ein; zur Zielstelle; schließe den Schritt.	Nimm dieselbe Arbeitseinheit und setze sie ein; zur Zielstelle; schließe den Schritt.	Nimm dieselbe Arbeitseinheit und setze dieselbe Arbeitseinheit ein; zur Zielstelle; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
106	G407-E0485	G407-S022	f17r	HERBAL	NONSTATE_CARD	cthey	CH+T+E+Y	1	1	1	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; auf Grad I.	Nimm den Pflanzenposten und stelle ihn ein; auf Grad I.	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
107	G407-E0487	G407-S023	f17r	HERBAL	NONSTATE_CARD	tsho	T+SH+O	1	1	1	Stelle denselben Pflanzenposten ein und halte denselben Pflanzenposten; als Ausführung.	Stelle denselben Pflanzenposten ein und halte ihn; als Ausführung.	Stelle denselben Pflanzenposten ein und halte denselben Pflanzenposten; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
108	G407-E0490	G407-S023	f17r	HERBAL	NONSTATE_CARD	qokcheor	OK+CH+E+O+R	1	2	2	Setze denselben Pflanzenposten im Arbeitsgang an, nimm denselben Pflanzenposten und markiere denselben Pflanzenposten; auf Grad I und als Ausführung.	Setze denselben Pflanzenposten im Arbeitsgang an, nimm ihn und markiere ihn; auf Grad I und als Ausführung.	Setze denselben Pflanzenposten im Arbeitsgang an, nimm denselben Pflanzenposten und markiere denselben Pflanzenposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
109	G407-E0491	G407-S023	f17r	HERBAL	NONSTATE_CARD	cheteg	CH+E+T+E+LOCAL_CHAR_G	1	1	1	Nimm denselben Pflanzenposten und stelle denselben Pflanzenposten ein; auf Grad I und auf Grad I; mit der lokalen Variante.	Nimm denselben Pflanzenposten und stelle ihn ein; auf Grad I und auf Grad I; mit der lokalen Variante.	Nimm denselben Pflanzenposten und stelle denselben Pflanzenposten ein; auf Grad I und auf Grad I; mit der lokalen Variante.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
110	G407-E0492	G407-S023	f17r	HERBAL	NONSTATE_CARD	ksheo	K+SH+E+O	1	1	1	Gib denselben Pflanzenposten zu und halte denselben Pflanzenposten; auf Grad I und als Ausführung.	Gib denselben Pflanzenposten zu und halte ihn; auf Grad I und als Ausführung.	Gib denselben Pflanzenposten zu und halte denselben Pflanzenposten; auf Grad I und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
111	G407-E0494	G407-S023	f17r	HERBAL	STATE_CARD	choldshy	CH+OL+D_ADDR+SH+Y	1	1	1	Weiter: nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	Weiter: nimm den Pflanzenposten und halte ihn; an der bezeichneten Stelle.	Weiter: nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
112	G407-E0495	G407-S023	f17r	HERBAL	NONSTATE_CARD	zepchy	S+E+P+CH+Y	1	2	2	Wähle den Pflanzenposten, setze den Pflanzenposten ein und nimm den Pflanzenposten; auf Grad I.	Wähle den Pflanzenposten, setze ihn ein und nimm ihn; auf Grad I.	Wähle den Pflanzenposten, setze den Pflanzenposten ein und nimm den Pflanzenposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
113	G407-E0497	G407-S023	f17r	HERBAL	STATE_CARD	opchordy	O+P+CH+OR+DY	1	1	1	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung; schließe den Schritt.	Setze die Arbeitseinheit ein und nimm sie; als Ausführung; schließe den Schritt.	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
114	G407-E0503	G407-S024	f17r	HERBAL	NONSTATE_CARD	chckho	CH+K+O	1	1	1	Nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; als Ausführung.	Nimm denselben Pflanzenposten und gib ihn zu; als Ausführung.	Nimm denselben Pflanzenposten und gib denselben Pflanzenposten zu; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
115	G407-E0506	G407-S024	f17r	HERBAL	NONSTATE_CARD	chypcham	CH+Y+P+CH+AM_ADDR	1	2	2	Nimm den Pflanzenposten, setze den Pflanzenposten ein und nimm den Pflanzenposten; an der bezeichneten Stelle.	Nimm den Pflanzenposten, setze ihn ein und nimm ihn; an der bezeichneten Stelle.	Nimm den Pflanzenposten, setze den Pflanzenposten ein und nimm den Pflanzenposten; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
116	G407-E0509	G407-S024	f17r	HERBAL	NONSTATE_CARD	dcheor	D_ADDR+CH+E+O+R	1	1	1	Nimm denselben Pflanzenposten und markiere denselben Pflanzenposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Nimm denselben Pflanzenposten und markiere ihn; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Nimm denselben Pflanzenposten und markiere denselben Pflanzenposten; auf Grad I und als Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
117	G407-E0514	G407-S024	f17r	HERBAL	NONSTATE_CARD	cthar	CH+T+AR	1	1	1	Nimm denselben Pflanzenposten und stelle denselben Pflanzenposten ein; vom Ausgangsmaterial.	Nimm denselben Pflanzenposten und stelle ihn ein; vom Ausgangsmaterial.	Nimm denselben Pflanzenposten und stelle denselben Pflanzenposten ein; vom Ausgangsmaterial.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
118	G407-E0527	G407-S026	f18r	HERBAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	Nimm den Pflanzenposten und gib ihn zu.	Nimm den Pflanzenposten und gib den Pflanzenposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
