event_serial	statement_id	record_unit_id	page	local_address	visible_surface	master_card_id	semantic_atoms	stable_surface_host	renderer_gesture	short_default_de	card_near_reading_de	statement_translation_de	line_crossing_statement
312	B3-S034	B3	f83r	B3-S034	otaiin	MC060	OT+AIIN	otaiin	ZERO	Folgemaß	Danach oder in demselben Gang: Folgemaß.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	NO
313	B3-S034	B3	f83r	B3-S034	olsaly	MC078	AL+Y	olsaly	ZERO	untere Zielstelle	Setze die bezeichnete Zielstelle: untere Zielstelle.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	NO
314	B3-S034	B3	f83r	B3-S034	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	An den drei Randbecken und danach am sichtbar gekoppelten Hauptpaar: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	NO
315	B4-S001	B4	f83r	B4-S001	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe	NO
316	B4-S002	B4	f83r	B4-S002	qolchey	MC162	OL+Y	qolchey	ZERO	diesen Posten weiterfuehren	Danach oder in demselben Gang: diesen Posten weiterfuehren.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	NO
317	B4-S002	B4	f83r	B4-S002	qokeey	MC002	OK+EE+Y	okeey	Q_ENTRY	länger ansetzen	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	NO
318	B4-S002	B4	f83r	B4-S002	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	NO
319	B4-S003	B4	f83r	B4-S003	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
320	B4-S003	B4	f83r	B4-S003	otal	MC093	OT+AL	otal	ZERO	danach dorthin	Danach oder in demselben Gang: danach dorthin.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
321	B4-S003	B4	f83r	B4-S003	otchey	MC171	OT+Y	otchey	ZERO	nächster Teilposten	Danach oder in demselben Gang: nächster Teilposten.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
322	B4-S003	B4	f83r	B4-S003	qokeey	MC002	OK+EE+Y	okeey	Q_ENTRY	länger ansetzen	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
323	B4-S003	B4	f83r	B4-S003	qoky	MC026	OK+Y	oky	Q_ENTRY	aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
324	B4-S003	B4	f83r	B4-S003	tol	MC153	OL	ol	T_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
325	B4-S003	B4	f83r	B4-S003	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
326	B4-S004	B4	f83r	B4-S004	qokylddy	MC164	OK+Y+LDDY	qokylddy	ZERO	aktuellen Posten befestigen; Schluss	Setze die gelernte Fachkarte: aktuellen Posten befestigen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe	NO
327	B4-S005	B4	f83r	B4-S005	dain	MC059	DAIN	dain	ZERO	Tuch	Setze die gelernte Fachkarte: Tuch.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	NO
328	B4-S005	B4	f83r	B4-S005	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	NO
329	B4-S005	B4	f83r	B4-S005	qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe	NO
330	B4-S006	B4	f83r	B4-S006	shckhedy	MC143	CKHE+CLOSE	shckhedy	ZERO	seihen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: seihen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	NO
331	B4-S007	B4	f83r	B4-S007	shckhedy	MC143	CKHE+CLOSE	shckhedy	ZERO	seihen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: seihen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	NO
332	B4-S008	B4	f83r	B4-S008	saiin	MC039	AIIN	aiin	S_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	NO
333	B4-S008	B4	f83r	B4-S008	cheeky	MC032	CHK+EE+Y	cheeky	ZERO	länger erwärmen und offen halten	Führe aus und beachte Dauer oder Endpunkt: länger erwärmen und offen halten.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	NO
334	B4-S008	B4	f83r	B4-S008	sheey	MC095	SH+EE+Y	sheey	ZERO	laenger ruhen	Führe aus und beachte Dauer oder Endpunkt: laenger ruhen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	NO
335	B4-S008	B4	f83r	B4-S008	qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	kurz ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	NO
336	B4-S009	B4	f83r	B4-S009	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe	NO
337	B4-S010	B4	f83r	B4-S010	oldy	MC019	OL+CLOSE	oldy	ZERO	Fortsetzung abschließen	Danach oder in demselben Gang: Fortsetzung abschließen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe	NO
338	B4-S011	B4	f83r	B4-S011	saiin	MC039	AIIN	aiin	S_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
339	B4-S011	B4	f83r	B4-S011	cheky	MC147	CHK+E+Y	cheky	ZERO	kurz wärmen	Führe aus und beachte Dauer oder Endpunkt: kurz wärmen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
340	B4-S011	B4	f83r	B4-S011	okeeol	MC150	OK+EE+OL	okeeol	ZERO	länger fortführen	Danach oder in demselben Gang: länger fortführen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
341	B4-S011	B4	f83r	B4-S011	okain	MC017	OK+AIN	okain	ZERO	eine Portion zugeben	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
342	B4-S011	B4	f83r	B4-S011	chdy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
343	B4-S011	B4	f83r	B4-S011	sol	MC153	OL	ol	S_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
344	B4-S011	B4	f83r	B4-S011	lkedy	MC124	L+E+CLOSE	lkedy	ZERO	kurz abführen; Schluss	Setze die gelernte Fachkarte: kurz abführen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe	YES__CONTINUE_ACROSS_PHYSICAL_LINE
345	B4-S012	B4	f83r	B4-S012	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe	NO
346	B4-S013	B4	f83r	B4-S013	qokol	MC024	OK+OL	qokol	ZERO	Fortsetzung ansetzen	Danach oder in demselben Gang: Fortsetzung ansetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe	NO
347	B4-S013	B4	f83r	B4-S013	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe	NO
348	B4-S014	B4	f83r	B4-S014	or	MC080	OR	or	ZERO	Ansatz	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	NO
349	B4-S014	B4	f83r	B4-S014	chey	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	NO
350	B4-S014	B4	f83r	B4-S014	qockhey	MC165	OK+CKH+E+Y	qockhey	ZERO	kurzen Durchlauf ansetzen	Führe aus und beachte Dauer oder Endpunkt: kurzen Durchlauf ansetzen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	NO
351	B4-S014	B4	f83r	B4-S014	dairydy	MC091	AIR+Y+CLOSE	dairydy	ZERO	Wasserlauf schliessen; Schluss	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserlauf schliessen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	NO
352	B4-S015	B4	f83r	B4-S015	qokain	MC017	OK+AIN	okain	Q_ENTRY	eine Portion zugeben	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
353	B4-S015	B4	f83r	B4-S015	shey	MC119	CHEEY	ey	SH_ENTRY	klarer Auszug	Setze die gelernte Fachkarte: klarer Auszug.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
354	B4-S015	B4	f83r	B4-S015	kain	MC105	AIN	kain	ZERO	eine Portion	Setze Maß, Portion oder Stufe: eine Portion.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
355	B4-S015	B4	f83r	B4-S015	chckhal	MC022	CKH+AL	chckhal	ZERO	zur Zielstelle durchleiten	Führe es an der bezeichneten Stelle aus: zur Zielstelle durchleiten.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
356	B4-S015	B4	f83r	B4-S015	solkey	MC050	SOLK+E+Y	solkey	ZERO	kurz sammeln	Führe aus und beachte Dauer oder Endpunkt: kurz sammeln.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
357	B4-S015	B4	f83r	B4-S015	lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
358	B4-S016	B4	f83r	B4-S016	qolkain	MC097	OL+AIN	olkain	Q_ENTRY	weitere Portion	Danach oder in demselben Gang: weitere Portion.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
359	B4-S016	B4	f83r	B4-S016	dal	MC154	AL	al	D_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
360	B4-S016	B4	f83r	B4-S016	skar	MC089	SK+AR	skar	ZERO	vom Ausgang ausgießen	Führe es aus dem Vorrat oder am Ansatz aus: vom Ausgang ausgießen.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
361	B4-S016	B4	f83r	B4-S016	shedy	MC128	SHED+E+CLOSE	edy	SH_ENTRY	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
362	B5-S001	B5	f83r	B5-S001	otchdy	MC067	OT+CHD+CLOSE	otchdy	ZERO	Folgegang vollziehen; Schluss	Danach oder in demselben Gang: Folgegang vollziehen; Schluss.	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe	NO
363	B5-S002	B5	f83r	B5-S002	qokchdy	MC088	OK+CHD+CLOSE	qokchdy	ZERO	Umsetzung ansetzen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Umsetzung ansetzen; Schluss.	An der linken figurenlosen Dienststation: Setze um und schließe	NO
364	B5-S003	B5	f83r	B5-S003	shedal	MC113	SHED+AL	shedal	ZERO	dort absetzen	Führe es an der bezeichneten Stelle aus: dort absetzen.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
365	B5-S003	B5	f83r	B5-S003	dal	MC154	AL	al	D_ENTRY	dorthin	Setze die bezeichnete Zielstelle: dorthin.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
366	B5-S003	B5	f83r	B5-S003	cheol	MC153	OL	ol	CH_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
367	B5-S003	B5	f83r	B5-S003	lol	MC092	L+OL	lol	ZERO	von dort weiterfuehren	Setze die gelernte Fachkarte: von dort weiterfuehren.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
368	B5-S003	B5	f83r	B5-S003	chdal	MC001	CHD+AL	chdal	ZERO	dort umsetzen	Führe es an der bezeichneten Stelle aus: dort umsetzen.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
369	B5-S003	B5	f83r	B5-S003	aiin	MC039	AIIN	aiin	ZERO	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
370	B5-S003	B5	f83r	B5-S003	sol	MC153	OL	ol	S_ENTRY	fortsetzen	Danach oder in demselben Gang: fortsetzen.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
371	B5-S003	B5	f83r	B5-S003	daiiin	MC172	IIN	daiiin	ZERO	Öffnungsstufe	Setze Maß, Portion oder Stufe: Öffnungsstufe.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
372	B5-S003	B5	f83r	B5-S003	chedy	MC074	CHD+Y	dy	CH_ENTRY	laufenden Posten umsetzen	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
373	B6-S001	B6	f83r	B6-S001	solkeey	MC020	SOLK+EE+Y	solkeey	ZERO	länger sammeln	Führe aus und beachte Dauer oder Endpunkt: länger sammeln.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
374	B6-S001	B6	f83r	B6-S001	qekey	MC052	KCH+E+Y	qekey	ZERO	aktuellen Posten kurz bearbeiten	Führe aus und beachte Dauer oder Endpunkt: aktuellen Posten kurz bearbeiten.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
375	B6-S001	B6	f83r	B6-S001	raly	MC046	AL+Y	raly	ZERO	diesen Posten dorthin	Setze die bezeichnete Zielstelle: diesen Posten dorthin.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
376	B6-S001	B6	f83r	B6-S001	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
377	B6-S001	B6	f83r	B6-S001	daiin	MC039	AIIN	aiin	D_ENTRY	Sollmaß	Setze Maß, Portion oder Stufe: Sollmaß.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
378	B6-S001	B6	f83r	B6-S001	ol	MC153	OL	ol	ZERO	fortsetzen	Danach oder in demselben Gang: fortsetzen.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
379	B6-S001	B6	f83r	B6-S001	dain	MC059	DAIN	dain	ZERO	Tuch	Setze die gelernte Fachkarte: Tuch.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
380	B6-S001	B6	f83r	B6-S001	chey	MC123	Y	y	CH_ENTRY	dieser Posten	Nimm diesen Posten wieder auf: dieser Posten.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
381	B6-S001	B6	f83r	B6-S001	ldalor	MC101	AL	ldalor	ZERO	Endziel	Setze die bezeichnete Zielstelle: Endziel.	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.	YES__CONTINUE_ACROSS_PHYSICAL_LINE
