component_recipe	portable_core_reading_de	register_count	registers	portability_tier	event_count	page_count	surface_count	surfaces	inherited_action_event_count	inherited_argument_event_count	context_bound_event_count	context_mode	source_section_t_example	herbal_example	biological_example	celestial_example	pharma_example
T+AL	EINSTELLEN · ZIELORT	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	3	3	1	tal	0	3	3	FULLY_CONTEXT_BOUND	NONE	NONE	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	NONE
T+AR	EINSTELLEN · AUSGANG	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	4	3	1	tar	0	4	4	FULLY_CONTEXT_BOUND	NONE	Stelle den Pflanzenposten [wie zuvor] ein; vom Ausgangsmaterial.	Stelle den Stationsposten [wie zuvor] ein; von der Ausgangsstation.	NONE	NONE
T+CH+E+O+L	EINSTELLEN · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	2	BIOLOGICAL|PHARMA	TWO_REGISTERS	2	2	1	tcheol	0	1	1	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	Stelle den Stationsposten [wie zuvor] ein und entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I und als Ausführung.	NONE	Stelle ein und nimm; über die Gefäßverbindung; auf Grad I und als Ausführung.
T+CHD+Y	EINSTELLEN · BEARBEITEN · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	5	3	1	tchedy	0	0	0	FULLY_SELF_CONTAINED	NONE	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	Stelle den Stationsposten ein und bearbeite den Stationsposten.	NONE	NONE
T+E+O+D_ADDR+AL	EINSTELLEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	1	teodal	0	1	1	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	NONE	NONE	NONE	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition; auf Grad I und als Ausführung; an der bezeichneten Stelle.	Stelle ein; zum Zielgefäß; auf Grad I und als Ausführung; an der bezeichneten Stelle.
T+E+Y	EINSTELLEN · GRAD I · POSTEN	2	BIOLOGICAL|CELESTIAL	TWO_REGISTERS	4	2	2	tey|ytey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Stelle den Stationsposten ein; auf Grad I.	Stelle den Positionsposten ein; auf Grad I.	NONE
T+OL	EINSTELLEN · FORTSETZEN	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	FOUR_REGISTERS	7	6	2	tchol|tol	0	7	7	FULLY_CONTEXT_BOUND	Weiter lege den laufenden Eintrag [wie zuvor] fest.	Weiter stelle den Arbeitswert [wie zuvor] ein.	Weiter stelle den Stationsposten [wie zuvor] ein.	NONE	Weiter stelle den Drogenanteil [wie zuvor] ein.
T+Y	EINSTELLEN · POSTEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	3	3	chety|tchy|tshy	0	0	0	FULLY_SELF_CONTAINED	NONE	Stelle den Pflanzenposten ein.	Stelle den Stationsposten ein.	NONE	NONE
Y	POSTEN	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	ALL_FIVE_REGISTERS	183	23	7	chey|chy|dy|shy|sshr|sy|y	182	0	182	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang stelle den Pflanzenposten ein.	Im laufenden Gang führe den Stationsposten zu.	Im laufenden Gang ordne den Positionsposten zu.	Im laufenden Gang gib den Drogenposten zu.
Y+AIN	POSTEN · ANTEIL	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	2	2	1	ydain	1	0	1	MIXED_SELF_CONTAINED_AND_CONTEXT_BOUND	Bezug: den laufenden Eintrag und den Teilwert.	NONE	Im laufenden Gang halte den Stationsposten und den Stationsanteil.	NONE	NONE
Y+AL	POSTEN · ZIELORT	2	HERBAL|CELESTIAL	TWO_REGISTERS	3	3	1	ydal	3	0	3	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang gib den Pflanzenposten zu; zur Zielstelle.	NONE	Im laufenden Gang markiere den Positionsposten; zur Zielposition.	NONE
Y+DA+AM_ADDR	POSTEN · ZWEITE STUFE · HIER	2	CELESTIAL|PHARMA	TWO_REGISTERS	2	2	1	ydam	2	0	2	FULLY_CONTEXT_BOUND	NONE	NONE	NONE	Im laufenden Gang markiere den Positionsposten; auf der zweiten Stufe; an der bezeichneten Stelle.	Im laufenden Gang setze den Drogenposten als Ansatz an; auf der zweiten Stufe; an der bezeichneten Stelle.
Y+D_ADDR+AIIN	POSTEN · HIER · WERT	3	HERBAL|CELESTIAL|PHARMA	THREE_REGISTERS	5	4	1	ydaiin	5	0	5	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang setze den Pflanzenposten und den Arbeitswert im Arbeitsgang an; an der bezeichneten Stelle.	NONE	Im laufenden Gang wähle den Positionsposten und den Positionswert; an der bezeichneten Stelle.	Im laufenden Gang nimm den Drogenposten und den Mengenwert; an der bezeichneten Stelle.
Y+D_ADDR+AIR	POSTEN · HIER · BAHN	2	HERBAL|PHARMA	TWO_REGISTERS	2	2	1	ydair	2	0	2	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang gib den Pflanzenposten zu; entlang der Verarbeitungsbahn; an der bezeichneten Stelle.	NONE	NONE	Im laufenden Gang setze den Drogenposten als Ansatz an; entlang der Transferbahn; an der bezeichneten Stelle.
Y+K+AIIN	POSTEN · GEBEN · WERT	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	THREE_REGISTERS	5	4	2	qykaiin|ykaiin	0	0	0	FULLY_SELF_CONTAINED	Ordne den laufenden Eintrag und den Kennwert zu.	Gib den Pflanzenposten und den Arbeitswert zu.	Führe den Stationsposten und den Stationswert zu.	NONE	NONE
Y+K+AR	POSTEN · GEBEN · AUSGANG	3	HERBAL|BIOLOGICAL|PHARMA	THREE_REGISTERS	3	3	1	ykar	0	0	0	FULLY_SELF_CONTAINED	NONE	Gib den Pflanzenposten zu; vom Ausgangsmaterial.	Führe den Stationsposten zu; von der Ausgangsstation.	NONE	Gib den Drogenposten zu; vom Ausgangsgefäß.
Y+K+CH+E+Y	POSTEN · GEBEN · NEHMEN · GRAD I · POSTEN	2	CELESTIAL|PHARMA	TWO_REGISTERS	3	2	1	ykchey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	NONE	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu und nimm den Positionsposten [außen] und den Positionsposten [innen] auf; auf Grad I.	Gib den Drogenposten [außen] und den Drogenposten [innen] zu und nimm den Drogenposten [außen] und den Drogenposten [innen]; auf Grad I.
Y+K+EE+Y	POSTEN · GEBEN · GRAD II · POSTEN	3	BIOLOGICAL|CELESTIAL|PHARMA	THREE_REGISTERS	5	5	1	ykeey	0	0	0	FULLY_SELF_CONTAINED	NONE	NONE	Führe den Stationsposten [außen] und den Stationsposten [innen] zu; auf Grad II.	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu; auf Grad II.	Gib den Drogenposten [außen] und den Drogenposten [innen] zu; auf Grad II.
Y+K+OL	POSTEN · GEBEN · FORTSETZEN	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	3	2	2	ykchol|ykol	0	0	0	FULLY_SELF_CONTAINED	NONE	Weiter gib den Pflanzenposten zu.	Weiter führe den Stationsposten zu.	NONE	NONE
Y+K+OL+Y	POSTEN · GEBEN · FORTSETZEN · POSTEN	2	HERBAL|CELESTIAL	TWO_REGISTERS	3	2	2	ykeeoly|ykoly	0	0	0	FULLY_SELF_CONTAINED	NONE	Weiter gib den Pflanzenposten [außen] und den Pflanzenposten [innen] zu.	NONE	Weiter ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	NONE
Y+K+OR	POSTEN · GEBEN · EINHEIT	2	HERBAL|CELESTIAL	TWO_REGISTERS	3	3	1	ykor	0	0	0	FULLY_SELF_CONTAINED	NONE	Gib den Pflanzenposten und die Arbeitseinheit zu.	NONE	Ordne den Positionsposten und die Positionseinheit zu.	NONE
Y+K+Y	POSTEN · GEBEN · POSTEN	2	HERBAL|CELESTIAL	TWO_REGISTERS	4	3	2	ykchy|yky	0	0	0	FULLY_SELF_CONTAINED	NONE	Gib den Pflanzenposten [außen] und den Pflanzenposten [innen] zu.	NONE	Ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	NONE
Y+P+AIR	POSTEN · EINSETZEN · BAHN	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	2	ypaim|ypair	0	0	0	FULLY_SELF_CONTAINED	NONE	Setze den Pflanzenposten ein; entlang der Verarbeitungsbahn.	NONE	Setze den Positionsposten ein; entlang der Ringbahn.	NONE
Y+SH+E+Y	POSTEN · HALTEN · GRAD I · POSTEN	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	THREE_REGISTERS	4	4	1	yshey	0	0	0	FULLY_SELF_CONTAINED	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; auf Grad I.	NONE	Halte den Stationsposten [außen] und den Stationsposten [innen]; auf Grad I.	Halte den Positionsposten [außen] und den Positionsposten [innen]; auf Grad I.	NONE
Y+SH+EE+Y	POSTEN · HALTEN · GRAD II · POSTEN	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	2	2	2	ycheey|ysheey	0	0	0	FULLY_SELF_CONTAINED	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; auf Grad II.	NONE	Halte den Stationsposten [außen] und den Stationsposten [innen]; auf Grad II.	NONE	NONE
Y+T+AIIN	POSTEN · EINSTELLEN · WERT	2	HERBAL|BIOLOGICAL	TWO_REGISTERS	2	2	1	ytaiin	0	0	0	FULLY_SELF_CONTAINED	NONE	Stelle den Pflanzenposten und den Arbeitswert ein.	Stelle den Stationsposten und den Stationswert ein.	NONE	NONE
Y+T+AIN	POSTEN · EINSTELLEN · ANTEIL	2	SOURCE_SECTION_T|BIOLOGICAL	TWO_REGISTERS	3	3	1	ytain	0	0	0	FULLY_SELF_CONTAINED	Lege den laufenden Eintrag und den Teilwert fest.	NONE	Stelle den Stationsposten und den Stationsanteil ein.	NONE	NONE
Y+T+EE+Y	POSTEN · EINSTELLEN · GRAD II · POSTEN	2	HERBAL|CELESTIAL	TWO_REGISTERS	2	2	2	yoeteey|yteey	0	0	0	FULLY_SELF_CONTAINED	NONE	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; auf Grad II.	NONE	Stelle den Positionsposten [außen] und den Positionsposten [innen] ein; auf Grad II.	NONE
Y+T+O	POSTEN · EINSTELLEN · AUSFÜHRUNG	2	SOURCE_SECTION_T|CELESTIAL	TWO_REGISTERS	2	2	1	yto	0	0	0	FULLY_SELF_CONTAINED	Lege den laufenden Eintrag fest; als Ausführung.	NONE	NONE	Stelle den Positionsposten ein; als Ausführung.	NONE
Y+T+Y	POSTEN · EINSTELLEN · POSTEN	2	HERBAL|PHARMA	TWO_REGISTERS	7	5	3	ytchy|ytshy|yty	0	0	0	FULLY_SELF_CONTAINED	NONE	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein.	NONE	NONE	Stelle den Drogenposten [außen] und den Drogenposten [innen] ein.
Y+Y	POSTEN · POSTEN	2	HERBAL|PHARMA	TWO_REGISTERS	3	3	3	ycheeo|ychey|ychy	3	0	3	FULLY_CONTEXT_BOUND	NONE	Im laufenden Gang stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein.	NONE	NONE	Im laufenden Gang halte den Drogenposten [außen] und den Drogenposten [innen].
