patched_statement_ordinal	statement_id	physical_page	bath_action_count	object_patch_count	patched_event_ids	patched_host_keys	selected_object_sequence_de	gdt590_primary_reader_de	gdt592_primary_reader_de	guard
121	G407-S597	f83r	3	2	G407-E3609|G407-E3612	ACTION:G407-E3609@1:SH|ACTION:G407-E3612@1:SH	Badegut→Stationsansatz	Verwende für den vorangehenden Arbeitsschritt auf Grad II und von der Ausgangsstation oder aus dem Ausgangsbecken. Behandle das Stationsmaß und den Stationsansatz über den Stationskontakt oder die Leitung. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken. Kennzeichne oder prüfe die Becken- oder Körpereinheit. Entnimm oder lass auf Grad I und an der Stations-Arbeitsstelle ab. Führe den Stationsansatz in Anwendungsform, auf Grad I und an der Stations-Arbeitsstelle zu. Führe auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung zu. Halte den Zustand. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Reguliere den Stationsansatz und das Stationsmaß. Halte im Bad auf Grad I. Entnimm oder lass den Stationsansatz ab. Wähle die Einheit aus. Entnimm oder lass auf Grad I ab. Reguliere den Stationsansatz. Wende im zweiten Durchgang an. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Halte im Bad in Anwendungsform. Entnimm oder lass ab. Wende auf Grad I an. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt auf Grad II und von der Ausgangsstation oder aus dem Ausgangsbecken. Behandle das Stationsmaß und den Stationsansatz über den Stationskontakt oder die Leitung. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Reguliere den Stationsansatz zur Zielstation oder ins Zielbecken. Kennzeichne oder prüfe die Becken- oder Körpereinheit. Entnimm oder lass auf Grad I und an der Stations-Arbeitsstelle ab. Führe den Stationsansatz in Anwendungsform, auf Grad I und an der Stations-Arbeitsstelle zu. Führe auf Grad II, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung zu. Halte den Zustand. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Reguliere den Stationsansatz und das Stationsmaß. Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass den Stationsansatz ab. Wähle die Einheit aus. Entnimm oder lass auf Grad I ab. Reguliere den Stationsansatz. Wende im zweiten Durchgang an. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad in Anwendungsform. Entnimm oder lass ab. Wende auf Grad I an. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
122	G407-S599	f83r	5	2	G407-E3621|G407-E3625	ACTION:G407-E3621@1:SH|ACTION:G407-E3625@1:SH	Stationsansatz→Anwendungsportion	"Wende in Anwendungsform an. Halte den Körper im Bad auf Grad I. Beginne danach den nächsten Arbeitsgang.

Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Beschicke oder bereite an der Stations-Arbeitsstelle vor. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Wähle den Stationsansatz an der Stations-Arbeitsstelle aus. Fahre im selben Arbeitsgang fort. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Halte die Badfüllung auf Grad I. Entnimm oder lass in Anwendungsform ab. Führe den Stationsansatz auf Grad I zu. Wähle die Anwendungsportion aus. Behandle den Ansatz. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Wende in Anwendungsform an. Halte den Körper im Bad auf Grad I. Beginne danach den nächsten Arbeitsgang.

Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Beschicke oder bereite an der Stations-Arbeitsstelle vor. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad an der Stations-Arbeitsstelle. Wähle den Stationsansatz an der Stations-Arbeitsstelle aus. Fahre im selben Arbeitsgang fort. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Halte denselben Stationsansatz im Bad bei der angegebenen Füllung auf Grad I. Entnimm oder lass in Anwendungsform ab. Führe den Stationsansatz auf Grad I zu. Wähle die Anwendungsportion aus. Behandle den Ansatz. Halte dieselbe Anwendungsportion im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
123	G407-S600	f83r	1	1	G407-E3628	ACTION:G407-E3628@1:SH	Badegut	Temperiere auf Grad I, als neuer Bad- oder Stationsansatz und zur Zielstation oder ins Zielbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Temperiere auf Grad I, als neuer Bad- oder Stationsansatz und zur Zielstation oder ins Zielbecken. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
124	G407-S614	f83r	1	1	G407-E3662	ACTION:G407-E3662@1:SH	Badegut	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
125	G407-S616	f83r	3	3	G407-E3664|G407-E3665|G407-E3673	ACTION:G407-E3664@1:SH|ACTION:G407-E3665@1:SH|ACTION:G407-E3673@1:SH	Badegut→Stationsansatz→Badegut	"Halte im Bad auf Grad I. Entnimm oder lass ab. Temperiere den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle. Halte im Bad auf Grad I. Entnimm oder lass ab. Reguliere den Stationsansatz und die Stationseinheit. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Wähle die Einheit in Anwendungsform, auf der Anwendungsstufe und in der Innenform aus. Entnimm oder lass ab. Reguliere den Stationsansatz. Reguliere den Stationsansatz und das Stationsmaß zur Zielstation oder ins Zielbecken. Beginne danach den nächsten Arbeitsgang.

Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3670@1:T: Y+AIIN+Y → Stationsansatz|Stationsmaß|Stationsansatz (Multiset: Stationsansatz ×2; Stationsmaß ×1)."	"Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Temperiere den Stationsansatz auf Grad I und an der Stations-Arbeitsstelle. Halte denselben Stationsansatz im Bad auf Grad I. Entnimm oder lass ab. Reguliere den Stationsansatz und die Stationseinheit. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Wähle die Einheit in Anwendungsform, auf der Anwendungsstufe und in der Innenform aus. Entnimm oder lass ab. Reguliere den Stationsansatz. Reguliere den Stationsansatz und das Stationsmaß zur Zielstation oder ins Zielbecken. Beginne danach den nächsten Arbeitsgang.

Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3670@1:T: Y+AIIN+Y → Stationsansatz|Stationsmaß|Stationsansatz (Multiset: Stationsansatz ×2; Stationsmaß ×1)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
126	G407-S619	f83r	1	1	G407-E3684	ACTION:G407-E3684@1:SH	Badegut	"Behandle den Stationsansatz zur Zielstation oder ins Zielbecken. Beginne danach den nächsten Arbeitsgang.

Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Reguliere die Stationsbedingung. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3678@1:CHD: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	"Behandle den Stationsansatz zur Zielstation oder ins Zielbecken. Beginne danach den nächsten Arbeitsgang.

Beginne danach den nächsten Arbeitsgang.

Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite den Stationsansatz vor. Reguliere die Stationsbedingung. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E3678@1:CHD: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
127	G407-S625	f83r	1	1	G407-E3695	ACTION:G407-E3695@1:SH	Badegut	Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
128	G407-S635	f83r	1	1	G407-E3718	ACTION:G407-E3718@1:SH	Badegut	Beschicke oder bereite den Stationsansatz auf Grad I vor. Wähle das Stationsmaß aus. Halte im Bad auf Grad II. Führe zu. Entnimm oder lass den Stationsansatz ab. Beschicke oder bereite den Stationsansatz auf Grad I vor. Wähle die Anwendungsportion aus. Halte den Zustand. Führe den Stationsansatz zu. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad I vor. Wähle das Stationsmaß aus. Halte das zu badende Gut im Bad auf Grad II. Führe zu. Entnimm oder lass den Stationsansatz ab. Beschicke oder bereite den Stationsansatz auf Grad I vor. Wähle die Anwendungsportion aus. Halte den Zustand. Führe den Stationsansatz zu. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
129	G407-S636	f83r	2	1	G407-E3734	ACTION:G407-E3734@2:SH	Stationsansatz	Halte den Zustand an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Beschicke oder bereite den Stationsansatz vor. Wähle das Stationsmaß aus. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Beschicke oder bereite vor. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wähle die Stationseinheit, das Stationsmaß und den Stationsansatz aus. Halte den Körper im Bad auf Grad I. Halte im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Halte den Zustand an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Beschicke oder bereite den Stationsansatz vor. Wähle das Stationsmaß aus. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Beschicke oder bereite vor. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wähle die Stationseinheit, das Stationsmaß und den Stationsansatz aus. Halte den Körper im Bad auf Grad I. Halte den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
130	G407-S639	f83r	1	1	G407-E3740	ACTION:G407-E3740@1:SH	Badegut	Beschicke oder bereite vor. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite vor. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
131	G407-S643	f83r	1	1	G407-E3768	ACTION:G407-E3768@1:SH	Badegut	"Fahre im selben Arbeitsgang fort. Führe die Anwendungsportion zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Behandle den Stationsansatz. Behandle den Stationsansatz und das Stationsmaß über den Stationskontakt oder die Leitung. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz zur Zielstation oder ins Zielbecken. Beginne danach den nächsten Arbeitsgang.

Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Fahre im selben Arbeitsgang fort. Führe die Anwendungsportion zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Behandle den Stationsansatz. Behandle den Stationsansatz und das Stationsmaß über den Stationskontakt oder die Leitung. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz zur Zielstation oder ins Zielbecken. Beginne danach den nächsten Arbeitsgang.

Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Führe von der Ausgangsstation oder aus dem Ausgangsbecken zu. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
132	G407-S646	f83r	1	1	G407-E3771	ACTION:G407-E3771@1:SH	Stationsansatz	Halte im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Entnimm oder lass in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Fahre im selben Arbeitsgang fort. Behandle das Stationsmaß zur Zielstation oder ins Zielbecken. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt auf der Anwendungsstufe und im zweiten Durchgang. Behandle den Stationsansatz.	Halte den Stationsansatz im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Entnimm oder lass in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Fahre im selben Arbeitsgang fort. Behandle das Stationsmaß zur Zielstation oder ins Zielbecken. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt auf der Anwendungsstufe und im zweiten Durchgang. Behandle den Stationsansatz.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
