component_recipe	current_event_count	current_page_count	current_register_count	one_event_jackknife_outcome	whole_recipe_deletion_fixed_reader_outcome	regenerated_neighbor_count	regenerated_fallback_rank	regenerated_source_recipes	literal_reading_de
CH+CH+T+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSTELLEN · GRAD I · POSTEN
CH+CH+T+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSTELLEN · FORTSETZEN
CH+CH+T+Y	13	9	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSTELLEN · POSTEN
CH+CH+T+Y+K+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · NEHMEN · EINSTELLEN · POSTEN · GEBEN · GRAD I · SCHLUSS
CH+E	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I
CH+E+AR	7	6	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSGANG
CH+E+A_ADDR+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · HIER · HIER
CH+E+CH+K+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · NEHMEN · GEBEN · GRAD I · POSTEN
CH+E+CH+K+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · NEHMEN · GEBEN · AUSFÜHRUNG
CH+E+CH+K+Y	7	7	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · NEHMEN · GEBEN · POSTEN
CH+E+CH+P+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · NEHMEN · EINSETZEN · GRAD I · SCHLUSS
CH+E+LOCAL_CHAR_F+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · HIER · AUSGANG
CH+E+LOCAL_CHAR_G	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · VARIANTE
CH+E+O	6	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG
CH+E+O+AL	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+E+O+AR | CH+E+O+L	NEHMEN · GRAD I · AUSFÜHRUNG · ZIELORT
CH+E+O+AM_ADDR	4	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · HIER
CH+E+O+AR	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+E+O+AL | CH+E+O+L	NEHMEN · GRAD I · AUSFÜHRUNG · AUSGANG
CH+E+O+CH+K+Y	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+E+O+CH+P+Y	NEHMEN · GRAD I · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN
CH+E+O+CH+P+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+E+O+CH+K+Y	NEHMEN · GRAD I · AUSFÜHRUNG · NEHMEN · EINSETZEN · POSTEN
CH+E+O+D_ADDR+AIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ANTEIL
CH+E+O+K	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN
CH+E+O+K+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · ZIELORT
CH+E+O+K+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · HIER
CH+E+O+K+OR+CH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · EINHEIT · NEHMEN · GRAD I · POSTEN
CH+E+O+K+Y	4	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · POSTEN
CH+E+O+L	29	11	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+E+O+AL | CH+E+O+AR	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
CH+E+O+L+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · WÄHLEN
CH+E+O+L+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · POSTEN
CH+E+O+LOCAL_CHAR_J+A_ADDR+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · VARIANTE · HIER · HIER
CH+E+O+R	16	8	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN
CH+E+O+R+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN · FORTSETZEN
CH+E+O+S	4	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · WÄHLEN
CH+E+O+T+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · EINSTELLEN · GRAD I · POSTEN
CH+E+O+Y	13	4	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · AUSFÜHRUNG · POSTEN
CH+E+OL+CH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · FORTSETZEN · NEHMEN · GRAD I · POSTEN
CH+E+OL+T+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · FORTSETZEN · EINSTELLEN · AUSGANG
CH+E+P	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSETZEN
CH+E+P+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSETZEN · FORTSETZEN
CH+E+P+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSETZEN · POSTEN
CH+E+S	6	5	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · WÄHLEN
CH+E+T+CH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSTELLEN · NEHMEN · POSTEN
CH+E+T+E+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSTELLEN · GRAD I · HIER · POSTEN
CH+E+T+E+LOCAL_CHAR_G	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSTELLEN · GRAD I · VARIANTE
CH+E+T+E+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSTELLEN · GRAD I · POSTEN
CH+E+T+Y+R+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · EINSTELLEN · POSTEN · MARKIEREN · POSTEN
CH+E+Y	5	5	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD I · POSTEN
CH+EE+CH+K+O+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · NEHMEN · GEBEN · AUSFÜHRUNG · SCHLUSS
CH+EE+D_ADDR+Y	12	8	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · HIER · POSTEN
CH+EE+LOCAL_CHAR_B	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · VARIANTE
CH+EE+O+D_ADDR+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · AUSFÜHRUNG · HIER · HIER
CH+EE+O+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · AUSFÜHRUNG · HIER · POSTEN
CH+EE+OR	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · EINHEIT
CH+EE+T+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · EINSTELLEN · GRAD II · POSTEN
CH+EE+T+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GRAD II · EINSTELLEN · POSTEN
CH+K	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN
CH+K+AIIN	3	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CH+K+AIN | CH+K+OR | CH+K+Y	NEHMEN · GEBEN · WERT
CH+K+AIN	4	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CH+K+AIIN | CH+K+OR | CH+K+Y	NEHMEN · GEBEN · ANTEIL
CH+K+AIR	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+K+AL | CH+K+AR	NEHMEN · GEBEN · BAHN
CH+K+AL	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	CH+K+AIR | CH+K+AR | CH+P+AL | S+K+AL	NEHMEN · GEBEN · ZIELORT
CH+K+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · HIER
CH+K+AR	4	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CH+K+AIR | CH+K+AL | CH+P+AR	NEHMEN · GEBEN · AUSGANG
CH+K+CH+Y+K+OL+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · NEHMEN · POSTEN · GEBEN · FORTSETZEN · POSTEN
CH+K+E+D_ADDR+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · GRAD I · HIER · POSTEN
CH+K+E+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · GRAD I · FORTSETZEN
CH+K+E+OR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · EINHEIT
CH+K+E+Y	13	8	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+K+E+OR | CH+P+E+Y	NEHMEN · GEBEN · GRAD I · POSTEN
CH+K+EE+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · GRAD II · ZIELORT
CH+K+EE+DY	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · GRAD II · SCHLUSS
CH+K+EE+K+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · GRAD II · GEBEN · WERT
CH+K+EE+Y	6	6	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · GRAD II · POSTEN
CH+K+O	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+P+O	NEHMEN · GEBEN · AUSFÜHRUNG
CH+K+O+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · AUSFÜHRUNG · SCHLUSS
CH+K+O+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · AUSFÜHRUNG · HIER · POSTEN
CH+K+O+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+P+O+Y	NEHMEN · GEBEN · AUSFÜHRUNG · POSTEN
CH+K+OL	5	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+P+OL	NEHMEN · GEBEN · FORTSETZEN
CH+K+OR	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	CH+K+AIIN | CH+K+AIN | CH+K+Y | CH+P+OR	NEHMEN · GEBEN · EINHEIT
CH+K+Y	29	14	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	CH+K+AIIN | CH+K+AIN | CH+K+OR | CH+P+Y	NEHMEN · GEBEN · POSTEN
CH+K+Y+D_ADDR+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · GEBEN · POSTEN · HIER · WÄHLEN
CH+L	1	1	1	REGENERATED_STRONG	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	CH+AIR | CH+AL | S+L	NEHMEN · VERBINDUNG
CH+L+CH+P+SH+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · VERBINDUNG · NEHMEN · EINSETZEN · HALTEN · GRAD II · POSTEN
CH+LOCAL_CHAR_F+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+LOCAL_CHAR_F+Y	NEHMEN · HIER · WERT
CH+LOCAL_CHAR_F+O+AIIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · HIER · AUSFÜHRUNG · WERT
CH+LOCAL_CHAR_F+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · HIER · FORTSETZEN
CH+LOCAL_CHAR_F+OL+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · HIER · FORTSETZEN · SCHLUSS
CH+LOCAL_CHAR_F+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	CH+LOCAL_CHAR_F+AIIN	NEHMEN · HIER · POSTEN
CH+O+CH+LOCAL_CHAR_F+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · GRAD I · POSTEN
CH+O+CH+LOCAL_CHAR_F+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · NEHMEN · HIER · POSTEN
CH+O+CH+T+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSGANG
CH+O+CH+T+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · POSTEN
CH+O+CH+T+EEE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD III · POSTEN
CH+O+CH+T+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · POSTEN
CH+O+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · HIER
CH+O+D_ADDR+AIIN	5	4	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+O+D_ADDR+AIN | CH+O+D_ADDR+Y	NEHMEN · AUSFÜHRUNG · HIER · WERT
CH+O+D_ADDR+AIN	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+O+D_ADDR+AIIN | CH+O+D_ADDR+Y	NEHMEN · AUSFÜHRUNG · HIER · ANTEIL
CH+O+D_ADDR+L	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · HIER · VERBINDUNG
CH+O+D_ADDR+Y	8	6	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+O+D_ADDR+AIIN | CH+O+D_ADDR+AIN	NEHMEN · AUSFÜHRUNG · HIER · POSTEN
CH+O+E+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · GRAD I · MARKIEREN
CH+O+EE+A_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · GRAD II · HIER
CH+O+P	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · EINSETZEN
CH+O+P+CH+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · EINSETZEN · NEHMEN · ZIELORT
CH+O+P+CHD+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN
CH+O+S	5	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · WÄHLEN
CH+O+S+AL+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · AUSFÜHRUNG · WÄHLEN · ZIELORT · WÄHLEN
CH+OL+D_ADDR+SH+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · FORTSETZEN · HIER · HALTEN · POSTEN
CH+OR	23	10	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	CH+AIIN | S+OR	NEHMEN · EINHEIT
CH+OR+CH+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · EINHEIT · NEHMEN · POSTEN
CH+OR+OL+S+AL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · EINHEIT · FORTSETZEN · WÄHLEN · ZIELORT
CH+OR+SH+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	NEHMEN · EINHEIT · HALTEN · GRAD I · SCHLUSS
