component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
CARRIER_Q+O+D_ADDR+CHD	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN	Beginne: bearbeite als Ausführung hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qodched	Bearbeite den Stationsposten [wie zuvor]; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+D_ADDR+O+AM_ADDR	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · AUSFÜHRUNG · HIER	Beginne: hier und hier.	1	OBSERVED_EVENT_COUNT	HERBAL	qodom	Im laufenden Gang nimm den Arbeitswert [wie zuvor]; als neuen Einsatz, als Ausführung und als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+D_ADDR+OR	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · EINHEIT	Beginne mit der Ausführung der Einheit hier.	1	OBSERVED_EVENT_COUNT	HERBAL	qodor	Im laufenden Gang stelle die Arbeitseinheit ein; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+E+AIR	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · GRAD I · BAHN	Beginne: entlang der Bahn auf Grad I.	1	OBSERVED_EVENT_COUNT	PHARMA	qoeair	Im laufenden Gang nimm; entlang der Transferbahn; als neuen Einsatz, als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+E+K+E+OR	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · GRAD I · GEBEN · GRAD I · EINHEIT	Beginne: gib die Einheit auf Grad I und auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	qoekeor	Gib die Ansatzeinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+E+K+OL	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · GRAD I · GEBEN · FORTSETZEN	Weiter: Beginne: gib auf Grad I als Ausführung.	2	OBSERVED_EVENT_COUNT	PHARMA	qoekol	Weiter gib den Mengenwert [wie zuvor] zu; als neuen Einsatz, als Ausführung und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+E+S+E+DY	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · GRAD I · WÄHLEN · GRAD I · SCHLUSS	Beginne: wähle auf Grad I und auf Grad I als Ausführung; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qoesedy	Wähle den Stationsposten [wie zuvor]; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+EE+D_ADDR+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · GRAD II · HIER · POSTEN	Beginne mit der Ausführung des Postens auf Grad II hier.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	qoeedy	Im laufenden Gang halte den Stationsposten; als neuen Einsatz, als Ausführung und auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+IIN+S	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · STUFE · WÄHLEN	Beginne: wähle auf der bezeichneten Stufe als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	qoaiis	Wähle; als neuen Einsatz, als Ausführung und auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+LOCAL_CHAR_F+AIIN	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · WERT	Beginne mit der Ausführung des Werts mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	qofaiin	Im laufenden Gang halte den Arbeitswert; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+LOCAL_CHAR_F+AIR	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · BAHN	Beginne: entlang der Bahn mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qofair	Im laufenden Gang ordne den Positionswert [wie zuvor] zu; entlang der Ringbahn; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIIN	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · WERT	Beginne: bearbeite den Wert als Ausführung mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	qofchdaiin	Bearbeite den Arbeitswert; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · POSTEN	Beginne: bearbeite den Posten als Ausführung mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qofchedy	Bearbeite den Stationsposten; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+OL	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · FORTSETZEN	Weiter: Beginne den bezeichneten Gang.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	qool	Weiter im laufenden Gang setze den Materialanteil [wie zuvor] im Arbeitsgang an; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+OR	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · EINHEIT	Beginne mit der Ausführung der Einheit.	2	OBSERVED_EVENT_COUNT	PHARMA	qoor	Im laufenden Gang nimm die Ansatzeinheit; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+P	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN	Beginne: setze ein als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qop	Setze den Stationsposten [wie zuvor] ein; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+P+CH+OL	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN	Weiter: Beginne: setze ein; nimm als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qopchol	Weiter setze ein und entnimm; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+P+CHD+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN	Beginne: setze den Posten ein; bearbeite den Posten als Ausführung.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL	qopchedy	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+P+OL	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · FORTSETZEN	Weiter: Beginne: setze ein als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qopol	Weiter setze den Stationsposten [wie zuvor] ein; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+P+SH+D_ADDR+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · HALTEN · HIER · POSTEN	Beginne: setze den Posten ein; halte den Posten als Ausführung hier.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	qofshy	Setze den Stationsposten ein und halte den Stationsposten; als neuen Einsatz und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+P+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · POSTEN	Beginne: setze den Posten ein als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qopy	Setze den Stationsposten ein; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+O+SH+EE+D_ADDR+Y	T0_EXACT_OBSERVED	0	BEGINNMARKER · AUSFÜHRUNG · HALTEN · GRAD II · HIER · POSTEN	Beginne: halte den Posten auf Grad II als Ausführung hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qosheedy	Halte den Stationsposten; als neuen Einsatz, als Ausführung und auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CARRIER_Q+S+G_LABEL	T0_EXACT_OBSERVED	0	BEGINNMARKER · WÄHLEN · VARIANTE	Beginne: wähle mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	CELESTIAL	qsg	Wähle den Positionswert [wie zuvor]; als neuen Einsatz; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH	T0_EXACT_OBSERVED	0	NEHMEN	Nimm.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	ch	Nimm den Materialanteil [wie zuvor].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+AIIN	T0_EXACT_OBSERVED	0	NEHMEN · WERT	Nimm den Wert.	5	OBSERVED_EVENT_COUNT	HERBAL|PHARMA	chaiin	Nimm den Arbeitswert.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+AIR	T0_EXACT_OBSERVED	0	NEHMEN · BAHN	Nimm entlang der Bahn.	1	OBSERVED_EVENT_COUNT	HERBAL	chair	Nimm den Pflanzenposten [wie zuvor]; entlang der Verarbeitungsbahn.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+AL	T0_EXACT_OBSERVED	0	NEHMEN · ZIELORT	Nimm am Zielort.	8	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	chal	Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+AL+S	T0_EXACT_OBSERVED	0	NEHMEN · ZIELORT · WÄHLEN	Nimm; wähle am Zielort.	1	OBSERVED_EVENT_COUNT	HERBAL	chals	Nimm den Pflanzenposten [wie zuvor] und wähle den Pflanzenposten [wie zuvor]; zur Zielstelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+AL+Y	T0_EXACT_OBSERVED	0	NEHMEN · ZIELORT · POSTEN	Nimm den Posten am Zielort.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	chaly	Entnimm den Stationsposten; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+AM_ADDR	T0_EXACT_OBSERVED	0	NEHMEN · HIER	Nimm hier.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	cham	Entnimm den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+A_ADDR	T0_EXACT_OBSERVED	0	NEHMEN · HIER	Nimm hier.	1	OBSERVED_EVENT_COUNT	SOURCE_SECTION_T	cha	Entnimm den laufenden Eintrag [wie zuvor]; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+A_ADDR+S	T0_EXACT_OBSERVED	0	NEHMEN · HIER · WÄHLEN	Nimm; wähle hier.	1	OBSERVED_EVENT_COUNT	CELESTIAL	chas	Nimm den Positionsposten [wie zuvor] auf und wähle den Positionsposten [wie zuvor]; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+K+AL	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · GEBEN · ZIELORT	Nimm; nimm; gib am Zielort.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	chckhal	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und führe den Stationsanteil [wie zuvor] zu; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+K+D_ADDR+Y	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · GEBEN · HIER · POSTEN	Nimm den Posten; nimm den Posten; gib den Posten hier.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	chckhdy	Nimm den Pflanzenposten, nimm den Pflanzenposten und gib den Pflanzenposten zu; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+K+E+Y	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · GEBEN · GRAD I · POSTEN	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL	chckhey	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+P+E+DY	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSETZEN · GRAD I · SCHLUSS	Nimm; nimm; setze ein auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	chcphedy	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und setze den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+P+E+Y	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSETZEN · GRAD I · POSTEN	Nimm den Posten; nimm den Posten; setze den Posten ein auf Grad I.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	chcphey	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+P+Y	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSETZEN · POSTEN	Nimm den Posten; nimm den Posten; setze den Posten ein.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	chcphy	Nimm den Pflanzenposten, nimm den Pflanzenposten und setze den Pflanzenposten ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+S	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · WÄHLEN	Nimm; nimm; wähle.	2	OBSERVED_EVENT_COUNT	CELESTIAL|HERBAL	chchs	Nimm, nimm und wähle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+T	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSTELLEN	Nimm; nimm; stelle ein.	1	OBSERVED_EVENT_COUNT	HERBAL	chcth	Nimm den Pflanzenposten [wie zuvor], nimm den Pflanzenposten [wie zuvor] und stelle den Pflanzenposten [wie zuvor] ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+T+D_ADDR+Y	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSTELLEN · HIER · POSTEN	Nimm den Posten; nimm den Posten; stelle den Posten ein hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	chcthdy	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+T+E+DY	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSTELLEN · GRAD I · SCHLUSS	Nimm; nimm; stelle ein auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	chcthedy	Entnimm den Stationsanteil [wie zuvor], entnimm den Stationsanteil [wie zuvor] und stelle den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+T+E+Y	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSTELLEN · GRAD I · POSTEN	Nimm den Posten; nimm den Posten; stelle den Posten ein auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	chcthey	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+T+OL	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSTELLEN · FORTSETZEN	Weiter: Nimm; nimm; stelle ein.	1	OBSERVED_EVENT_COUNT	PHARMA	chcthol	Weiter nimm die Ansatzeinheit [wie zuvor], nimm die Ansatzeinheit [wie zuvor] und stelle die Ansatzeinheit [wie zuvor] ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+T+Y	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSTELLEN · POSTEN	Nimm den Posten; nimm den Posten; stelle den Posten ein.	13	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	chcthy	Nimm den Pflanzenposten, nimm den Pflanzenposten und stelle den Pflanzenposten ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+CH+T+Y+K+E+DY	T0_EXACT_OBSERVED	0	NEHMEN · NEHMEN · EINSTELLEN · POSTEN · GEBEN · GRAD I · SCHLUSS	Nimm den Posten; nimm den Posten; stelle den Posten ein; gib den Posten auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	HERBAL	chcthykedy	Nimm den Pflanzenposten, nimm den Pflanzenposten, stelle den Pflanzenposten ein und gib den Pflanzenposten zu; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I	Nimm auf Grad I.	1	OBSERVED_EVENT_COUNT	CELESTIAL	che	Nimm den Positionsposten [wie zuvor] auf; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+AR	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSGANG	Nimm vom Ausgang auf Grad I.	7	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	chear	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+A_ADDR+D_ADDR	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · HIER · HIER	Nimm auf Grad I hier und hier.	1	OBSERVED_EVENT_COUNT	PHARMA	chead	Nimm den Drogenposten [wie zuvor]; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+CH+K+E+Y	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · NEHMEN · GEBEN · GRAD I · POSTEN	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I und auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	checkhey	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I und auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+CH+K+O	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · NEHMEN · GEBEN · AUSFÜHRUNG	Nimm; nimm; gib auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	checkho	Entnimm den Stationsposten [wie zuvor], entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+CH+K+Y	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · NEHMEN · GEBEN · POSTEN	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I.	7	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	chekackhy	Nimm den Positionsposten auf, nimm den Positionsposten auf und ordne den Positionsposten zu; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+CH+P+E+DY	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · NEHMEN · EINSETZEN · GRAD I · SCHLUSS	Nimm; nimm; setze ein auf Grad I und auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	checphedy	Entnimm die Stationseinheit [wie zuvor], entnimm die Stationseinheit [wie zuvor] und setze die Stationseinheit [wie zuvor] ein; auf Grad I und auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+LOCAL_CHAR_F+AR	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · HIER · AUSGANG	Nimm vom Ausgang auf Grad I mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	HERBAL	chefar	Nimm den Pflanzenposten [wie zuvor]; vom Ausgangsmaterial; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+LOCAL_CHAR_G	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · VARIANTE	Nimm auf Grad I mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	cheg	Entnimm den Stationsposten [wie zuvor]; auf Grad I; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+O	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSFÜHRUNG	Nimm auf Grad I als Ausführung.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|PHARMA	cheo	Nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+O+AL	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSFÜHRUNG · ZIELORT	Nimm am Zielort auf Grad I als Ausführung.	2	OBSERVED_EVENT_COUNT	PHARMA	cheodal	Nimm; zum Zielgefäß; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+O+AM_ADDR	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSFÜHRUNG · HIER	Nimm auf Grad I als Ausführung hier.	4	OBSERVED_EVENT_COUNT	PHARMA	cheom	Nimm die Ansatzeinheit [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+O+AR	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSFÜHRUNG · AUSGANG	Nimm vom Ausgang auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	HERBAL	cheoar	Nimm den Arbeitswert [wie zuvor]; vom Ausgangsmaterial; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+O+CH+K+Y	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSFÜHRUNG · NEHMEN · GEBEN · POSTEN	Nimm den Posten; nimm den Posten; gib den Posten auf Grad I als Ausführung.	2	OBSERVED_EVENT_COUNT	PHARMA	cheockhy	Nimm den Drogenposten, nimm den Drogenposten und gib den Drogenposten zu; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+O+CH+P+Y	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSFÜHRUNG · NEHMEN · EINSETZEN · POSTEN	Nimm den Posten; nimm den Posten; setze den Posten ein auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	cheocphy	Nimm den Drogenposten, nimm den Drogenposten und setze den Drogenposten ein; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
CH+E+O+D_ADDR+AIN	T0_EXACT_OBSERVED	0	NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ANTEIL	Nimm den Anteil auf Grad I als Ausführung hier.	1	OBSERVED_EVENT_COUNT	PHARMA	cheodain	Nimm den Drogenanteil; auf Grad I und als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
