assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	relation_state_projection	relation_argument_state_projection	relation_occurrence_in_recipe	relation_multiplicity_in_recipe	relation_sequence	relation	relation_value_de	relation_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	envelope_role	content_block	relation_position_in_block	block_left_edge	block_right_edge	left_content_before_relation	right_content_after_relation	visible_left_actions	visible_right_actions	visible_left_arguments	visible_right_arguments	local_payload_geometry	root_geometry_default	compact_relation_reading_de	literal_rich_projection_de	statement_position	statement_final	current_reading_de	guard	substitution_family_id
152	OLD26_GDT407	G407-E3434	G407-S555	f82r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
153	OLD26_GDT407	G407-E3474	G407-S561	f83r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INITIAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
154	OLD26_GDT407	G407-E3479	G407-S562	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
155	OLD26_GDT407	G407-E3481	G407-S563	f83r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
156	OLD26_GDT407	G407-E3509	G407-S571	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
157	OLD26_GDT407	G407-E3557	G407-S582	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
158	OLD26_GDT407	G407-E3561	G407-S583	f83r	BIOLOGICAL	otal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
159	OLD26_GDT407	G407-E3576	G407-S588	f83r	BIOLOGICAL	lchcphedy	L+CH+CH+P+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	6	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CH+CH+P+E	1	YES	NO	NONE	CH+CH+P+E	NONE	CH+CH+P	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · NEHMEN · NEHMEN · EINSETZEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
160	OLD26_GDT407	G407-E3583	G407-S592	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
161	OLD26_GDT407	G407-E3594	G407-S593	f83r	BIOLOGICAL	dalchdy	AL+CHD+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
162	OLD26_GDT407	G407-E3596	G407-S595	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
163	OLD26_GDT407	G407-E3630	G407-S601	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
164	OLD26_GDT407	G407-E3645	G407-S607	f83r	BIOLOGICAL	lkedy	L+K+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+K+E	1	YES	NO	NONE	K+E	NONE	K	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · GEBEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
165	OLD26_GDT407	G407-E3658	G407-S612	f83r	BIOLOGICAL	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
166	OLD26_GDT407	G407-E3672	G407-S616	f83r	BIOLOGICAL	olsaly	OL+AL+Y	OL+AL	OL+AL+Y	1	1	AL	AL	ZIELORT	2	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AL+Y	1	YES	NO	NONE	Y	NONE	NONE	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	FORTSETZEN · ZIELORT · POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · ZIELORT · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
167	OLD26_GDT407	G407-E3679	G407-S619	f83r	BIOLOGICAL	otal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
168	OLD26_GDT407	G407-E3685	G407-S620	f83r	BIOLOGICAL	qokylddy	OK+Y+L+D_ADDR+DY	L+DY	Y+L+DY	1	1	L	L	VERBINDUNG	3	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	OK+Y+L+D_ADDR	3	NO	NO	OK+Y	D_ADDR	OK	NONE	Y	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	POSTEN · VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	SETZEN · AKTIVER POSTEN · VERBINDUNG · HIER · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
169	OLD26_GDT407	G407-E3710	G407-S633	f83r	BIOLOGICAL	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
170	OLD26_GDT407	G407-E3713	G407-S634	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
171	OLD26_GDT407	G407-E3722	G407-S635	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
172	OLD26_GDT407	G407-E3734	G407-S636	f83r	BIOLOGICAL	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
173	OLD26_GDT407	G407-E3737	G407-S637	f83r	BIOLOGICAL	lkedy	L+K+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+K+E	1	YES	NO	NONE	K+E	NONE	K	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · GEBEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
174	OLD26_GDT407	G407-E3738	G407-S638	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
175	OLD26_GDT407	G407-E3744	G407-S640	f83r	BIOLOGICAL	dairydy	AIR+Y+DY	AIR+DY	AIR+Y+DY	1	1	AIR	AIR	BAHN	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	AIR+Y	1	YES	NO	NONE	Y	NONE	NONE	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	SPARSE_PATH_DESCRIPTOR__NO_STATE_SUBSTITUTION	BAHN · ABSCHLIESSEN	BAHN · POSTEN · ABSCHLIESSEN	STATEMENT_FINAL	YES	LAUF · AKTIVER POSTEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
176	OLD26_GDT407	G407-E3753	G407-S642	f83r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
177	OLD26_GDT407	G407-E3765	G407-S643	f83r	BIOLOGICAL	qotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
178	OLD26_GDT407	G407-E3774	G407-S646	f83r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
179	OLD26_GDT407	G407-E3784	G407-S647	f83r	BIOLOGICAL	solchkal	S+OL+CH+K+AL	OL+AL	OL+AL	1	1	AL	AL	ZIELORT	5	5	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	CH+K+AL	3	NO	YES	CH+K	NONE	CH+K	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	FORTSETZEN · ZIELORT	STATEMENT_INTERNAL	NO	WÄHLEN · FORTSETZEN · NEHMEN · GEBEN · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
180	OLD26_GDT407	G407-E3786	G407-S647	f83r	BIOLOGICAL	qotar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
181	OLD26_GDT407	G407-E3881	G407-S650	f88r	PHARMA	chorcholsal	CH+OR+OL+S+AL	OL+AL	OR+OL+AL	1	1	AL	AL	ZIELORT	5	5	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	S+AL	2	NO	YES	S	NONE	S	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	EINHEIT · FORTSETZEN · ZIELORT	STATEMENT_FINAL	YES	NEHMEN · EINHEIT · FORTSETZEN · WÄHLEN · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
182	OLD26_GDT407	G407-E3897	G407-S652	f88r	PHARMA	oldal	OL+DA+L	OL+L	OL+L	1	1	L	L	VERBINDUNG	3	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	DA+L	2	NO	YES	DA	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	FORTSETZEN · VERBINDUNG	FORTSETZEN · VERBINDUNG	STATEMENT_INTERNAL	NO	FORTSETZEN · ZWEITE STUFE · VERBINDUNG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
183	OLD26_GDT407	G407-E4056	G407-S664	f88v	PHARMA	saldy	S+AL+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	2	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	S+AL	2	NO	YES	S	NONE	S	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	WÄHLEN · ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
184	OLD26_GDT407	G407-E4115	G407-S669	f89r	PHARMA	darolg	AR+OL	AR+OL	AR+OL	1	1	AR	AR	AUSGANG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · FORTSETZEN	AUSGANG · FORTSETZEN	STATEMENT_INTERNAL	NO	AUSGANG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
185	OLD26_GDT407	G407-E4121	G407-S669	f89r	PHARMA	dalchom	AL+CHD+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
186	OLD26_GDT407	G407-E4140	G407-S670	f89r	PHARMA	dainaldy	D_ADDR+AIN+AL+DY	AL+DY	AIN+AL+DY	1	1	AL	AL	ZIELORT	3	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	D_ADDR+AIN+AL	3	NO	YES	D_ADDR+AIN	NONE	NONE	NONE	AIN	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ANTEIL · ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	HIER · ANTEIL · ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
187	OLD26_GDT407	G407-E4244	G407-S678	f89r	PHARMA	lkeopol	L+K+E+O+P+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	6	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L+K+E+O+P	1	YES	NO	NONE	K+E+O+P	NONE	K+P	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG · EINSETZEN · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
188	OLD26_GDT407	G407-E4427	G407-S690	f95v	HERBAL	okalody	OK+AL+O+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	2	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	OK+AL+O	2	NO	NO	OK	O	OK	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	SETZEN · ZIELORT · AUSFÜHRUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
189	OLD26_GDT407	G407-E4443	G407-S692	f95v	HERBAL	otalain	OT+AL+AIN	OT+AL	OT+AL+AIN	1	1	AL	AL	ZIELORT	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+AIN	1	YES	NO	NONE	AIN	NONE	NONE	NONE	AIN	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT · ANTEIL	STATEMENT_INTERNAL	NO	DANACH · ZIELORT · ANTEIL	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
