unit_serial	register	page	unit_id	visible_owner	group_count	template_id	source_slot_order	latin_like_workshop_formula	german_source_order	compressed_surface_sequence	recovered_atom_sequence	recovered_literal_de	fluent_owner_reading_de
218	ASTRO	f68r1	f68r1.28	A2_STAR_STATION_20	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_20, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	okoldy	OK+OL+DY_BOUND	Fortsetzung aktivieren und festhalten	star station 20: Fortsetzung aktivieren und festhalten
219	ASTRO	f68r1	f68r1.29	A2_STAR_STATION_21	1	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A2_STAR_STATION_21, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	ykchdy	YK+KCH	bezeichnete Klasse oder Haus + KCH	star station 21: bezeichnete Klasse oder Haus + KCH
220	ASTRO	f68r1	f68r1.30	A2_STAR_STATION_22	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A2_STAR_STATION_22, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	oeeody	EE+OD+Y	diesen Posten in langer Stufe eintragen	star station 22: diesen Posten in langer Stufe eintragen
221	ASTRO	f68r1	f68r1.31	A2_STAR_STATION_23	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_23, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ocphy	O+CPH_ASTRO+Y	aktuelle Grundauswahl	star station 23: aktuelle Grundauswahl
222	ASTRO	f68r1	f68r1.32	A2_STAR_STATION_24	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A2_STAR_STATION_24, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okeeodal	OK+EE+OD+AL	markiertes Ziel länger aktivieren	star station 24: markiertes Ziel länger aktivieren
223	ASTRO	f68r1	f68r1.33	A2_STAR_STATION_25	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A2_STAR_STATION_25, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okshor	OK+HO	Aktivieren + Eingangsposten	star station 25: Aktivieren + Eingangsposten
224	ASTRO	f68r1	f68r1.34	A2_STAR_STATION_26	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A2_STAR_STATION_26, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	osdaiin	OS+AIIN	Feld-Sollwert	star station 26: Feld-Sollwert
225	ASTRO	f68r1	f68r1.35	A2_STAR_STATION_27	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_27, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otochedy	OT+CHD	Folge + Umsetzen	star station 27: Folge + Umsetzen
226	ASTRO	f68r1	f68r1.36	A2_STAR_STATION_28	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A2_STAR_STATION_28, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	dolchedy	OL+CHD	Fortsetzen + Umsetzen	star station 28: Fortsetzen + Umsetzen
227	ASTRO	f68r1	f68r1.37	A2_CENTRAL_LEGEND_UNRESOLVED	5	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A2_CENTRAL_LEGEND_UNRESOLVED, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	oky okchdy okardy qear oygy	OK | KCH | OK+AR+DY_BOUND | AR | O+G+Y	diesen Diagrammposten setzen; Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; Quelle aktivieren und Auswahl festhalten; Ausgangssektor, Ursprung oder Bezugswert; aktueller Grundgrad	central legend unresolved: diesen Diagrammposten setzen; Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; Quelle aktivieren und Auswahl festhalten; Ausgangssektor, Ursprung oder Bezugswert; aktueller Grundgrad
228	ASTRO	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	40	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A3_LEFT_WHEEL_RING_TEXT, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char	AIR | CHEEY+YK | OT | AR | AR | AR | OK+SH | AR | CH+T+OD+Y | OK+EE+OS | O | T+Y | OT+OK+EEE | OK+EE+OD+Y | OK | D+O+IIR | EE | NONE | NONE | OT | NONE | OK | CH+S+DY | OK+E+OD | NONE | NONE | HO+AIIN | OK+AR | OK+AR | HO | EE | YT | OD+AIR | OT | OT+EE | AR | O | E+YK+E+OD+Y | HO | AR	Lauf/Bahn; Ablesewert der Klasse/des Hauses; naechster Platz oder folgende Bedingung; Quelle; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; aktivieren und halten; Ausgangssektor, Ursprung oder Bezugswert; aktuellen Phasen-Zustand eintragen; zweites Feld aktivieren; Grundwert; aktuelle Phase; nächsten Posten vollständig aktivieren; diesen Posten länger aktivieren und eintragen; in langer Stufe setzen; fester Grundindex; lange Tabellenstufe; dieser lokale Diagrammposten; dieser lokale Diagrammposten; naechster Platz oder folgende Bedingung; dieser lokale Diagrammposten; Diagrammposten setzen oder aktivieren; sekundären Zustand festhalten; kurz aktivieren und markieren; dieser lokale Diagrammposten; dieser lokale Diagrammposten; Eingangsposten mit Sollwert; Quelle aktivieren; Quelle aktivieren; im selben Ring oder Band fortsetzen; lange Tabellenstufe; bezeichneter Platz oder Phase; Lauf oder Bahn markieren; Teilsektor oder Untereintrag; nächste lange Stufe; Quelle; Grundwert; Klassenposten in kurzer Stufe markieren; Bedingungs-, Tabellen- oder Wahlansatz; Quelle	left wheel ring text: Lauf/Bahn; Ablesewert der Klasse/des Hauses; naechster Platz oder folgende Bedingung; Quelle; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; aktivieren und halten; Ausgangssektor, Ursprung oder Bezugswert; aktuellen Phasen-Zustand eintragen; zweites Feld aktivieren; Grundwert; aktuelle Phase; nächsten Posten vollständig aktivieren; diesen Posten länger aktivieren und eintragen; in langer Stufe setzen; fester Grundindex; lange Tabellenstufe; dieser lokale Diagrammposten; dieser lokale Diagrammposten; naechster Platz oder folgende Bedingung; dieser lokale Diagrammposten; Diagrammposten setzen oder aktivieren; sekundären Zustand festhalten; kurz aktivieren und markieren; dieser lokale Diagrammposten; dieser lokale Diagrammposten; Eingangsposten mit Sollwert; Quelle aktivieren; Quelle aktivieren; im selben Ring oder Band fortsetzen; lange Tabellenstufe; bezeichneter Platz oder Phase; Lauf oder Bahn markieren; Teilsektor oder Untereintrag; nächste lange Stufe; Quelle; Grundwert; Klassenposten in kurzer Stufe markieren; Bedingungs-, Tabellen- oder Wahlansatz; Quelle
229	ASTRO	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	38	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A3_MIDDLE_WHEEL_RING_TEXT, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	yka chol ykar dal ykady iokeeor cheey choly ykeeal cheo oaram ockhy sheey aiin y daiial cheody cheal yetey chear y dy ykey ch y dy chol ykar ol y ykeeody chey dal ody airchy choky ychey chey	YK | HO | YK+AR | AL | YK | OK+EE+OR | CHEEY | HO | YK+AL | CHEO | AR+AM | CKH | NONE | AIIN | NONE | AL | CHEO | AL | SEL+T+Y | AR | NONE | NONE | YK | CH | NONE | NONE | HO | YK+AR | OL | NONE | YK+EE+OD+Y | NONE | AL | OD+Y | AIR | HO | Y+CHEEY | NONE	bezeichnete Klasse oder Haus; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; Ziel; bezeichnete Klasse oder Haus; Tabellensatz länger aktivieren; sichtbares Ergebnis / Ablesewert; im selben Ring, Band oder Satz fortsetzen; bezeichnete Klasse oder Haus + AL; Ablesewert; Quellaspekt; durch Sektor, Ring oder Pruefweg fuehren; diese Position laenger halten; Sollwert oder Grad des bezeichneten Himmelsplatzes; dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld; Ablesewert fest; Ziel; ausgewählte aktuelle Phase; Quelle; dieser lokale Diagrammposten; dieser lokale Diagrammposten; bezeichnete Klasse oder Haus; Zustand; dieser lokale Diagrammposten; dieser lokale Diagrammposten; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; im selben Ring oder Band fortsetzen; dieser lokale Diagrammposten; diesen Klassenposten länger markieren; dieser lokale Diagrammposten; Ziel; diesen Posten eintragen; Himmels-, Ring- oder Zeigerlauf; diesen Diagrammposten setzen; aktueller Ablesewert; dieser lokale Diagrammposten	middle wheel ring text: bezeichnete Klasse oder Haus; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; Ziel; bezeichnete Klasse oder Haus; Tabellensatz länger aktivieren; sichtbares Ergebnis / Ablesewert; im selben Ring, Band oder Satz fortsetzen; bezeichnete Klasse oder Haus + AL; Ablesewert; Quellaspekt; durch Sektor, Ring oder Pruefweg fuehren; diese Position laenger halten; Sollwert oder Grad des bezeichneten Himmelsplatzes; dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld; Ablesewert fest; Ziel; ausgewählte aktuelle Phase; Quelle; dieser lokale Diagrammposten; dieser lokale Diagrammposten; bezeichnete Klasse oder Haus; Zustand; dieser lokale Diagrammposten; dieser lokale Diagrammposten; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; im selben Ring oder Band fortsetzen; dieser lokale Diagrammposten; diesen Klassenposten länger markieren; dieser lokale Diagrammposten; Ziel; diesen Posten eintragen; Himmels-, Ring- oder Zeigerlauf; diesen Diagrammposten setzen; aktueller Ablesewert; dieser lokale Diagrammposten
230	ASTRO	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	29	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A3_RIGHT_WHEEL_RING_TEXT, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	doair otaldal dair chdy otoar ar chy qoteor cho qotair chda oteeal cheor ar air oteody ytyd a dchy otoly okeodal oteoarar cheteeser dair chey okody dal oteey oteey	AIR | OT+AL+AL | AIR | CHD | OT+AR | AR | NONE | OT+E+OR | HO | OT+AIR | CHD | OT+EE+AL | CHEO | AR | AIR | OT+E+OD+Y | YT+TY | A | D+CH+Y | OT+OL+Y | OK+E+OD+AL | OT+AR+AR | EE | AIR | NONE | OK+OD+Y | AL | OT | OT	Himmels-, Ring- oder Zeigerlauf; nächsten Doppelziel-Eintrag setzen; Lauf/Bahn; auf den bezeichneten Diagrammplatz uebertragen; nächste Quelle; Ausgangssektor, Ursprung oder Bezugswert; dieser lokale Diagrammposten; nächsten Satz kurz nehmen; Eingangsposten oder Zutat; nächster Lauf; Wert oder Platzbezug uebertragen; am nächsten Ziel länger halten; Bedingungs-, Tabellen- oder Wahlansatz; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; den nächsten Posten kurz markieren; bezeichneter Platz oder Phase + TY; Hauptwert; fester aktueller Zustand; diese Fortsetzung als nächste nehmen; markiertes Ziel kurz aktivieren; Folge + Quelle + Quelle; lange Tabellenstufe; Lauf/Bahn; dieser lokale Diagrammposten; diesen markierten Posten aktivieren; Ziel; naechster Diagrammposten in langer Stufe; naechster Diagrammposten in langer Stufe	right wheel ring text: Himmels-, Ring- oder Zeigerlauf; nächsten Doppelziel-Eintrag setzen; Lauf/Bahn; auf den bezeichneten Diagrammplatz uebertragen; nächste Quelle; Ausgangssektor, Ursprung oder Bezugswert; dieser lokale Diagrammposten; nächsten Satz kurz nehmen; Eingangsposten oder Zutat; nächster Lauf; Wert oder Platzbezug uebertragen; am nächsten Ziel länger halten; Bedingungs-, Tabellen- oder Wahlansatz; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; den nächsten Posten kurz markieren; bezeichneter Platz oder Phase + TY; Hauptwert; fester aktueller Zustand; diese Fortsetzung als nächste nehmen; markiertes Ziel kurz aktivieren; Folge + Quelle + Quelle; lange Tabellenstufe; Lauf/Bahn; dieser lokale Diagrammposten; diesen markierten Posten aktivieren; Ziel; naechster Diagrammposten in langer Stufe; naechster Diagrammposten in langer Stufe
231	ASTRO	f69v	f69v.4	A3_LEFT_RADIAL_SLOT_01	2	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_01, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okeey sar	OK | AR	in langer Stufe setzen; Quelle	left radial slot 01: in langer Stufe setzen; Quelle
232	ASTRO	f69v	f69v.5	A3_LEFT_RADIAL_SLOT_02	2	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_02, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okeo dy	OK | NONE	Diagrammposten setzen oder aktivieren; dieser lokale Diagrammposten	left radial slot 02: Diagrammposten setzen oder aktivieren; dieser lokale Diagrammposten
233	ASTRO	f69v	f69v.6	A3_LEFT_RADIAL_SLOT_03	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_03, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ochoyk	HO	Himmelsobjekt oder Eingangsbedingung	left radial slot 03: Himmelsobjekt oder Eingangsbedingung
234	ASTRO	f69v	f69v.7	A3_LEFT_RADIAL_SLOT_04	1	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A3_LEFT_RADIAL_SLOT_04, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	ykeey	YK	bezeichnete Klasse oder Haus	left radial slot 04: bezeichnete Klasse oder Haus
235	ASTRO	f69v	f69v.8	A3_LEFT_RADIAL_SLOT_05	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_05, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	ytory	YT+OR	bezeichneter Platz oder Phase + OR	left radial slot 05: bezeichneter Platz oder Phase + OR
236	ASTRO	f69v	f69v.9	A3_LEFT_RADIAL_SLOT_06	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A3_LEFT_RADIAL_SLOT_06, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	oeesy	EE+Y	diesen Posten länger halten	left radial slot 06: diesen Posten länger halten
237	ASTRO	f69v	f69v.10	A3_LEFT_RADIAL_SLOT_07	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_07, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ytody	YT+OD+Y	diesen Platz eintragen	left radial slot 07: diesen Platz eintragen
238	ASTRO	f69v	f69v.11	A3_LEFT_RADIAL_SLOT_08	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_08, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okody	OK+OD+Y	diesen markierten Posten aktivieren	left radial slot 08: diesen markierten Posten aktivieren
239	ASTRO	f69v	f69v.12	A3_LEFT_RADIAL_SLOT_09	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_09, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	otody	OT+OD+Y	den nächsten Posten markieren	left radial slot 09: den nächsten Posten markieren
240	ASTRO	f69v	f69v.13	A3_LEFT_RADIAL_SLOT_10	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A3_LEFT_RADIAL_SLOT_10, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	okeal	OK+E+AL	Ziel kurz aktivieren	left radial slot 10: Ziel kurz aktivieren
241	ASTRO	f69v	f69v.14	A3_LEFT_RADIAL_SLOT_11	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_11, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okeod	OK+E+OD	kurz aktivieren und markieren	left radial slot 11: kurz aktivieren und markieren
242	ASTRO	f69v	f69v.15	A3_LEFT_RADIAL_SLOT_12	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A3_LEFT_RADIAL_SLOT_12, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	oteeys	OT+EE	nächste lange Stufe	left radial slot 12: nächste lange Stufe
243	ASTRO	f69v	f69v.16	A3_LEFT_RADIAL_SLOT_13	1	A_GRADE_VALUE	VISIBLE LOCUS > VALUE/STAGE/GRADE > CURRENT/READ	In figura A3_LEFT_RADIAL_SLOT_13, gradum vel valorem statutum lege.	Am sichtbaren Diagrammplatz Stufe, Grad oder Sollwert lesen.	oteol	OT+E+OL	als nächstes kurz fortsetzen	left radial slot 13: als nächstes kurz fortsetzen
244	ASTRO	f69v	f69v.17	A3_LEFT_RADIAL_SLOT_14	1	A_CLASS_FIELD	VISIBLE LOCUS > CLASS/HOUSE/FIELD > VALUE	In figura A3_LEFT_RADIAL_SLOT_14, classem sive domum et valorem eius lege.	Am sichtbaren Diagrammplatz Klasse, Haus, Paarfeld oder Rahmen lesen.	ykeydy	YK	bezeichnete Klasse oder Haus	left radial slot 14: bezeichnete Klasse oder Haus
245	ASTRO	f69v	f69v.18	A3_LEFT_RADIAL_SLOT_15	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_15, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okeod	OK+E+OD	kurz aktivieren und markieren	left radial slot 15: kurz aktivieren und markieren
246	ASTRO	f69v	f69v.19	A3_LEFT_RADIAL_SLOT_16	1	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A3_LEFT_RADIAL_SLOT_16, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	saral	AR+AL	von Quelle zum Ziel	left radial slot 16: von Quelle zum Ziel
247	ASTRO	f69v	f69v.20	A3_LEFT_RADIAL_SLOT_17	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_17, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	saiir	S+A+IIR	Hauptindex des Nebenfelds	left radial slot 17: Hauptindex des Nebenfelds
248	ASTRO	f69v	f69v.21	A3_LEFT_RADIAL_SLOT_18	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A3_LEFT_RADIAL_SLOT_18, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	okolar	OK+OL+AR	Aktivieren + Fortsetzen + Quelle	left radial slot 18: Aktivieren + Fortsetzen + Quelle
249	ASTRO	f69v	f69v.22	A3_LEFT_RADIAL_SLOT_19	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_19, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	ykeody	YK+E+OD+Y	diesen Klassenposten kurz markieren	left radial slot 19: diesen Klassenposten kurz markieren
250	ASTRO	f69v	f69v.23	A3_LEFT_RADIAL_SLOT_20	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_20, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	sarydy	AR	Ausgangssektor, Ursprung oder Bezugswert	left radial slot 20: Ausgangssektor, Ursprung oder Bezugswert
251	ASTRO	f69v	f69v.24	A3_LEFT_RADIAL_SLOT_21	1	A_NEXT_CONTINUE	VISIBLE LOCUS > NEXT/CONTINUE > VALUE/COURSE	In figura A3_LEFT_RADIAL_SLOT_21, sequens accipe vel in eodem ordine continua.	Am sichtbaren Diagrammplatz den nächsten Eintrag nehmen oder im selben Ring fortsetzen.	otchy	OT	naechster Platz oder folgende Bedingung	left radial slot 21: naechster Platz oder folgende Bedingung
252	ASTRO	f69v	f69v.25	A3_LEFT_RADIAL_SLOT_22	2	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_22, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okeey dy	OK | NONE	in langer Stufe setzen; dieser lokale Diagrammposten	left radial slot 22: in langer Stufe setzen; dieser lokale Diagrammposten
253	ASTRO	f69v	f69v.26	A3_LEFT_RADIAL_SLOT_23	2	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_23, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okey d	OK | D	in kurzer Stufe setzen; Festwert	left radial slot 23: in kurzer Stufe setzen; Festwert
254	ASTRO	f69v	f69v.27	A3_LEFT_RADIAL_SLOT_24	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_24, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okeod	OK+E+OD	kurz aktivieren und markieren	left radial slot 24: kurz aktivieren und markieren
255	ASTRO	f69v	f69v.28	A3_LEFT_RADIAL_SLOT_25	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_25, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okodchy	OK+OD+Y	diesen markierten Posten aktivieren	left radial slot 25: diesen markierten Posten aktivieren
256	ASTRO	f69v	f69v.29	A3_LEFT_RADIAL_SLOT_26	1	A_MARK_SELECT	VISIBLE LOCUS > SELECT/MARK > CURRENT VALUE > HOLD	In figura A3_LEFT_RADIAL_SLOT_26, elige locum, nota valorem et tene.	Am sichtbaren Diagrammplatz auswählen; Wert markieren; aktuellen Eintrag halten.	okeody	OK+E+OD+Y	diesen Posten kurz aktivieren und eintragen	left radial slot 26: diesen Posten kurz aktivieren und eintragen
257	ASTRO	f69v	f69v.30	A3_LEFT_RADIAL_SLOT_27	1	A_LOCAL_ENTRY	VISIBLE LOCUS > LEARNED LOCAL VALUE > READ	In figura A3_LEFT_RADIAL_SLOT_27, signum loci ex exemplari lege.	Den lokalen Wert am sichtbaren Platz aus dem Meisterexemplar lesen.	okcheys	KCH	Diagrammplatz berechnen oder bearbeiten	left radial slot 27: Diagrammplatz berechnen oder bearbeiten
258	ASTRO	f69v	f69v.31	A3_LEFT_RADIAL_SLOT_28	2	A_SOURCE_TARGET	VISIBLE LOCUS > SOURCE > TARGET/COURSE > READ	In figura A3_LEFT_RADIAL_SLOT_28, ab fonte ad locum vel cursum lege.	Am sichtbaren Diagrammplatz Quelle und Ziel oder Bahn lesen.	oar alys	AR | AL	Quelle; Zielsektor, Zielstern oder Zielfeld	left radial slot 28: Quelle; Zielsektor, Zielstern oder Zielfeld
