unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	short_workshop_reading_de	fully_spoken_reading_de	memory_or_orientation_rule	local_boundary
127	f67r2	f67r2.11	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_11	3	chky chykchs chy	CH+K+Y | KCH | NONE	aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuellen Klassenzustand setzen; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
128	f67r2	f67r2.12	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_SECTOR_SLOT_12	2	ykees ykchos	YK | YK+KCH	bezeichnete Klasse oder Haus; bezeichnete Klasse oder Haus + KCH	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus; bezeichnete Klasse oder Haus + KCH. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
129	f67r2	f67r2.13	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_RING_BAND_01	4	opodchol s ain aldy	OP+OD+OL | S | AIN | AL	markiertes Paarfeld fortsetzen; Nebenwert; gezaehlter Teil oder Unterabschnitt; Zielsektor, Zielstern oder Zielfeld	Lies diesen sichtbaren Posten nur im gewählten Rad: markiertes Paarfeld fortsetzen; Nebenwert; gezaehlter Teil oder Unterabschnitt; Zielsektor, Zielstern oder Zielfeld. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
130	f67r2	f67r2.14	ASTRO_LOCUS	F67_RIGHT_WHEEL_NS::A1_RIGHT_RING_BAND_02	3	soeey doiin oldy	EE | IIN | OL	lange Tabellenstufe; Tabellenstufe; fortsetzen und den Eintrag schliessen	Lies diesen sichtbaren Posten nur im gewählten Rad: lange Tabellenstufe; Tabellenstufe; fortsetzen und den Eintrag schliessen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
131	f67r2	f67r2.15	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_15	1	dolchsody	OL	im selben Ring, Band oder Satz fortsetzen	Lies diesen sichtbaren Posten nur im gewählten Rad: im selben Ring, Band oder Satz fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
132	f67r2	f67r2.16	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_16	4	odaeiin okoes oekain y	OD+IIN | OK | AIN | NONE	Arbeits- oder Bedingungsstufe markieren; Diagrammposten setzen oder aktivieren; gezaehlter Teil oder Unterabschnitt; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: Arbeits- oder Bedingungsstufe markieren; Diagrammposten setzen oder aktivieren; gezaehlter Teil oder Unterabschnitt; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
133	f67r2	f67r2.17	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_17	3	otchey soraiir dy	OT | OR | NONE	naechster Diagrammposten; Bedingungs-, Tabellen- oder Wahlansatz; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: naechster Diagrammposten; Bedingungs-, Tabellen- oder Wahlansatz; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
134	f67r2	f67r2.18	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_18	3	qopchy daiin dal	OP+CH+Y | AIIN | AL	aktueller Zustand des Paarfelds; Sollwert; Ziel	Lies diesen sichtbaren Posten nur im gewählten Rad: aktueller Zustand des Paarfelds; Sollwert; Ziel. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
135	f67r2	f67r2.19	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_19	4	ydchos ain ar amy	YD+HO | AIN | AR | AM+Y	Eingangsposten der aktiven Zeile; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; aktueller Aspekt	Lies diesen sichtbaren Posten nur im gewählten Rad: Eingangsposten der aktiven Zeile; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; aktueller Aspekt. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
136	f67r2	f67r2.20	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_20	2	chocfhy saral	HO | AR+AL	Himmelsobjekt oder Eingangsbedingung; von Quelle zum Ziel	Lies diesen sichtbaren Posten nur im gewählten Rad: Himmelsobjekt oder Eingangsbedingung; von Quelle zum Ziel. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
137	f67r2	f67r2.21	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_21	3	sain am ar	AIN | AM | AR	Portion; ASPEKT; Ausgangssektor, Ursprung oder Bezugswert	Lies diesen sichtbaren Posten nur im gewählten Rad: Portion; ASPEKT; Ausgangssektor, Ursprung oder Bezugswert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
138	f67r2	f67r2.22	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_22	1	okal	OK+AL	am Zielplatz setzen	Lies diesen sichtbaren Posten nur im gewählten Rad: am Zielplatz setzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
139	f67r2	f67r2.23	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_23	2	oparchy salsain	OP+AR | AL+AIN	Quelle des Paarfelds; Ziel + Portion	Lies diesen sichtbaren Posten nur im gewählten Rad: Quelle des Paarfelds; Ziel + Portion. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
140	f67r2	f67r2.24	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_24	3	sodar ofar ar	AR | AR | AR	Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert	Lies diesen sichtbaren Posten nur im gewählten Rad: Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
141	f67r2	f67r2.25	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_25	1	ydam	YD+AM	Aspekt der aktiven Zeile	Lies diesen sichtbaren Posten nur im gewählten Rad: Aspekt der aktiven Zeile. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
142	f67r2	f67r2.26	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_26	3	yteoor yto ykor	YT+OR | YT | YK+OR	bezeichneter Platz oder Phase + OR; bezeichneter Platz oder Phase; bezeichnete Klasse oder Haus + OR	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase + OR; bezeichneter Platz oder Phase; bezeichnete Klasse oder Haus + OR. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
143	f67r2	f67r2.27	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_27	4	okeo r aiin am	OK | R | AIIN | AM	Diagrammposten setzen oder aktivieren; Bezugswert; Sollwert oder Grad des bezeichneten Himmelsplatzes; ASPEKT	Lies diesen sichtbaren Posten nur im gewählten Rad: Diagrammposten setzen oder aktivieren; Bezugswert; Sollwert oder Grad des bezeichneten Himmelsplatzes; ASPEKT. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
144	f67r2	f67r2.28	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_28	2	okain am	OK+AIN | AM	einen gezaehlten Teilwert zugeben; ASPEKT	Lies diesen sichtbaren Posten nur im gewählten Rad: einen gezaehlten Teilwert zugeben; ASPEKT. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
145	f67r2	f67r2.29	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_29	2	ytody saiin	YT+OD+Y | AIIN	diesen Platz eintragen; Sollwert	Lies diesen sichtbaren Posten nur im gewählten Rad: diesen Platz eintragen; Sollwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
146	f67r2	f67r2.30	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_30	2	ochol olol	HO | OL+OL	im selben Ring, Band oder Satz fortsetzen; im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	Lies diesen sichtbaren Posten nur im gewählten Rad: im selben Ring, Band oder Satz fortsetzen; im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
147	f67r2	f67r2.31	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_31	1	opcholdy	OP+OL+DY	Paarfeld fortsetzen und festhalten	Lies diesen sichtbaren Posten nur im gewählten Rad: Paarfeld fortsetzen und festhalten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
148	f67r2	f67r2.32	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_32	4	dosar odas air alaiin	AR | OD | AIR | AL+AIIN	Ausgangssektor, Ursprung oder Bezugswert; Nebenwert markieren; Himmels-, Ring- oder Zeigerlauf; Ziel-Sollwert	Lies diesen sichtbaren Posten nur im gewählten Rad: Ausgangssektor, Ursprung oder Bezugswert; Nebenwert markieren; Himmels-, Ring- oder Zeigerlauf; Ziel-Sollwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
149	f67r2	f67r2.33	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_33	3	dokan oear odal	OK | AR | OD+AL	Diagrammposten setzen oder aktivieren; Ausgangssektor, Ursprung oder Bezugswert; Ziel markieren	Lies diesen sichtbaren Posten nur im gewählten Rad: Diagrammposten setzen oder aktivieren; Ausgangssektor, Ursprung oder Bezugswert; Ziel markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
150	f67r2	f67r2.34	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_34	2	ofar oeoldan	AR | OL	Ausgangssektor, Ursprung oder Bezugswert; im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	Lies diesen sichtbaren Posten nur im gewählten Rad: Ausgangssektor, Ursprung oder Bezugswert; im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
151	f67r2	f67r2.35	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_35	3	chol giin okol	HO | G+IIN | OK+OL	im selben Ring oder Band fortsetzen; Gradstufe; Fortsetzung aktivieren	Lies diesen sichtbaren Posten nur im gewählten Rad: im selben Ring oder Band fortsetzen; Gradstufe; Fortsetzung aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
152	f67r2	f67r2.36	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_36	3	ytor daiin or	YT+OR | AIIN | OR	bezeichneter Platz oder Phase + OR; Sollwert; Bedingungs- oder Tabellensatz	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase + OR; Sollwert; Bedingungs- oder Tabellensatz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
153	f67r2	f67r2.37	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_37	1	ytoaiin	YT+AIIN	bezeichneter Platz oder Phase + AIIN	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase + AIIN. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
154	f67r2	f67r2.38	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_38	2	otoldos octhole	OT+OL | CTH+OL	als nächstes fortsetzen; lokaler DOS-Status; Bereitwert + Fortsetzen	Lies diesen sichtbaren Posten nur im gewählten Rad: als nächstes fortsetzen; lokaler DOS-Status; Bereitwert + Fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
155	f67r2	f67r2.39	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_39	3	sor chedaiin dy	OR | CHD+AIIN | NONE	Satz/Ansatz; ZUM SOLLWERT UMSETZEN; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: Satz/Ansatz; ZUM SOLLWERT UMSETZEN; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
156	f67r2	f67r2.40	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_40	3	yteos oiin og	YT | IIN | G	bezeichneter Platz oder Phase; Tabellenstufe; Grundgrad	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase; Tabellenstufe; Grundgrad. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
157	f67r2	f67r2.41	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_41	2	ytoeopchey chekody	YT | CHK+OD+Y	bezeichneter Platz oder Phase; erwärmten/gehaltenen Posten markieren	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichneter Platz oder Phase; erwärmten/gehaltenen Posten markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
158	f67r2	f67r2.42	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_42	3	sosho chos ockhy	OS+HO | HO | CKH	Feldeingang; Eingangsposten; durch Sektor, Ring oder Pruefweg fuehren	Lies diesen sichtbaren Posten nur im gewählten Rad: Feldeingang; Eingangsposten; durch Sektor, Ring oder Pruefweg fuehren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
159	f67r2	f67r2.43	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_43	4	daiin aiin os qsg	AIIN | AIIN | OS | G	Sollwert; Sollwert oder Grad des bezeichneten Himmelsplatzes; FELD/RAHMEN; Nebengrad	Lies diesen sichtbaren Posten nur im gewählten Rad: Sollwert; Sollwert oder Grad des bezeichneten Himmelsplatzes; FELD/RAHMEN; Nebengrad. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
160	f67r2	f67r2.44	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_44	3	ofydy sheody aiin	O+Y+DY | E+OD+Y | AIIN	aktuellen Grundwert festhalten; diesen gehaltenen Posten kurz markieren; Sollwert oder Grad des bezeichneten Himmelsplatzes	Lies diesen sichtbaren Posten nur im gewählten Rad: aktuellen Grundwert festhalten; diesen gehaltenen Posten kurz markieren; Sollwert oder Grad des bezeichneten Himmelsplatzes. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
161	f67r2	f67r2.45	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_45	3	ycheody es odaiiin	CHEO | SEL+S | OD+IIN	aktueller Ablesewert fest; ausgewählter Nebenwert; Stufe markieren	Lies diesen sichtbaren Posten nur im gewählten Rad: aktueller Ablesewert fest; ausgewählter Nebenwert; Stufe markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
162	f67r2	f67r2.46	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_46	2	yekees oraly	EE | OR+AL	lange Tabellenstufe; Ansatz/Satz + Ziel	Lies diesen sichtbaren Posten nur im gewählten Rad: lange Tabellenstufe; Ansatz/Satz + Ziel. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
163	f67r2	f67r2.47	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_47	1	yfain	AIN	gezaehlter Teil oder Unterabschnitt	Lies diesen sichtbaren Posten nur im gewählten Rad: gezaehlter Teil oder Unterabschnitt. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
164	f67r2	f67r2.48	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_48	3	todaiin dain dy	AIIN | AIN | NONE	Sollwert; Portion; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: Sollwert; Portion; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
165	f67r2	f67r2.49	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_49	3	os choer aiin	OS | HO | AIIN	FELD/RAHMEN; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes	Lies diesen sichtbaren Posten nur im gewählten Rad: FELD/RAHMEN; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
166	f67r2	f67r2.50	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_50	2	choeea sal	HO+EE | AL	Eingangsposten länger halten; Ziel	Lies diesen sichtbaren Posten nur im gewählten Rad: Eingangsposten länger halten; Ziel. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
167	f67r2	f67r2.51	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_LOCAL_FIELD_51	1	dadaiin	AIIN	Sollwert	Lies diesen sichtbaren Posten nur im gewählten Rad: Sollwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
168	f67r2	f67r2.52	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_01	1	qotoear	OT+E+AR	nächste Quelle kurz nehmen	Lies diesen sichtbaren Posten nur im gewählten Rad: nächste Quelle kurz nehmen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
169	f67r2	f67r2.53	ASTRO_LOCUS	F67_LEFT_WHEEL_NS::A1_LEFT_OUTER_STAR_STATION_02	1	dchdar	CHD+AR	von Quelle umsetzen	Lies diesen sichtbaren Posten nur im gewählten Rad: von Quelle umsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
