transition_ordinal	event_id	statement_id	physical_page	register	surface	recipe	left_control	right_control	last_argument	last_argument_value_de	argument_sequence	current_carrier_reading_de	next_event_id	next_recipe	next_explicit_arguments	next_inherited_argument	successor_outcome	transition_reading_de	statement_final	guard
266	G407-E3680	G407-S619	f83r	BIOLOGICAL	otchey	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3681	OK+EE+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
267	G407-E3749	G407-S641	f83r	BIOLOGICAL	solchedy	S+OL+CHD+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3750	OL+CHD+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
268	G407-E3752	G407-S642	f83r	BIOLOGICAL	solkey	OL+K+E+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3753	L+CHD+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
269	G407-E3754	G407-S643	f83r	BIOLOGICAL	qolkain	OL+K+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E3755	AL	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
270	G407-E3780	G407-S647	f83r	BIOLOGICAL	solkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3781	E+K+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
271	G407-E3801	G407-S648	f88r	PHARMA	sholfchor	SH+OL+LOCAL_CHAR_F+CH+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G407-E3802	AL	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
272	G407-E3832	G407-S648	f88r	PHARMA	doleeey	D_ADDR+OL+EEE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3833	OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
273	G407-E3865	G407-S650	f88r	PHARMA	oteor	OT+E+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E3866	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
274	G407-E3884	G407-S651	f88r	PHARMA	olkeey	OL+K+EE+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3885	CH+T+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
275	G407-E3886	G407-S651	f88r	PHARMA	poldy	P+OL+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E3887	S	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
276	G407-E3972	G407-S657	f88v	PHARMA	oldaiin	OL+D_ADDR+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E3973	OT+E+O+DY	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
277	G407-E3974	G407-S658	f88v	PHARMA	yfolaiin	Y+LOCAL_CHAR_F+OL+AIIN	OL	END	AIIN	WERT	Y+AIIN	weiter mit dem Wert als aktuellem Träger	G407-E3975	OR+AIIN	OR|AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
278	G407-E3988	G407-S658	f88v	PHARMA	oteody	OT+E+O+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E3989	CARRIER_Q+O+CH+K+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
279	G407-E4005	G407-S660	f88v	PHARMA	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E4006	CH+E+O+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
280	G407-E4008	G407-S660	f88v	PHARMA	oteody	OT+E+O+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E4009	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
281	G407-E4063	G407-S666	f89r	PHARMA	qopcholy	CARRIER_Q+O+CH+T+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4064	OK+O+D_ADDR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
282	G407-E4070	G407-S667	f89r	PHARMA	oldain	OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E4071	SH+O+DY	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
283	G407-E4130	G407-S670	f89r	PHARMA	qotey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E4131	OK+EE+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
284	G407-E4208	G407-S675	f89r	PHARMA	dolchsyckheol	D_ADDR+OL+CH+S+Y+CH+K+E+OL	OL	OL	Y	POSTEN	Y	den Posten weiterführen und aktiv halten	G407-E4209	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
285	G407-E4214	G407-S675	f89r	PHARMA	choldy	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4215	CH+O+S	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
286	G407-E4234	G407-S678	f89r	PHARMA	oldaiin	OL+D_ADDR+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E4235	OT+OL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
287	G407-E4238	G407-S678	f89r	PHARMA	oldaiin	OL+D_ADDR+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E4239	OT+CH+OL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
288	G407-E4241	G407-S678	f89r	PHARMA	otolpchy	OT+OL+P+CH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4242	D_ADDR+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
289	G407-E4248	G407-S678	f89r	PHARMA	olkey	OL+K+E+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4249	OK+E+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
290	G407-E4293	G407-S681	f89r	PHARMA	kolches	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4294	SH+E+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
291	G407-E4300	G407-S682	f89r	PHARMA	sholdy	SH+OL+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4301	OK+AL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
292	G407-E4405	G407-S689	f95v	HERBAL	qotedaiin	OT+E+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E4406	SH+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
293	G407-E4407	G407-S689	f95v	HERBAL	olsain	OL+S+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E4408	OL	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
294	G407-E4410	G407-S690	f95v	HERBAL	qotchey	OT+CHD+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E4411	AL+OR	OR	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
295	G407-E4413	G407-S690	f95v	HERBAL	olor	OL+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G407-E4414	OK+A_ADDR+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
296	G407-E4416	G407-S690	f95v	HERBAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E4417	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
297	G407-E4426	G407-S690	f95v	HERBAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E4427	OK+AL+O+DY	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
298	G407-E4429	G407-S691	f95v	HERBAL	olkain	OL+K+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E4430	OK+AN	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
299	G407-E4442	G407-S692	f95v	HERBAL	olkaiin	OL+K+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E4443	OT+AL+AIN	AIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
300	G407-E4443	G407-S692	f95v	HERBAL	otalain	OT+AL+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E4444	OK+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
301	G407-E4450	G407-S692	f95v	HERBAL	olaiin	OL+AIIN	OL	END	AIIN	WERT	AIIN	weiter mit dem Wert als aktuellem Träger	G407-E4451	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
302	G407-E4458	G407-S693	f95v	HERBAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	NONE	NONE	NONE	NONE	NO_SUCCESSOR_STATEMENT_END	Die Aussage endet nach diesem Träger.	YES	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
303	G407-E4473	G407-S695	f95v	HERBAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E4474	OK+E+DY	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
304	G407-E4492	G407-S698	f95v	HERBAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E4493	SH+E+K+SH+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
305	G407-E4523	G407-S705	f95v	HERBAL	dolkain	D_ADDR+OL+K+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E4524	OT+AR+DY	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
306	G407-E4550	G407-S710	f95v	HERBAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E4551	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
307	G407-E4559	G407-S713	f95v	HERBAL	otain	OT+AIN	OT	END	AIN	ANTEIL	AIN	danach den Anteil als nächsten Träger eröffnen	G407-E4560	T+SH+E+S	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
308	G407-E4562	G407-S713	f95v	HERBAL	shotshey	SH+OT+SH+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E4563	S	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
309	G407-E4566	G407-S714	f95v	HERBAL	olkchdy	OL+K+CHD+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4567	OT+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
310	G407-E4567	G407-S714	f95v	HERBAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G407-E4568	SH+CH+T+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
311	G407-E4569	G407-S714	f95v	HERBAL	dolkchy	D_ADDR+OL+K+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E4570	T+CHD+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
312	G515-E0006	G515-S002	f4r	HERBAL	qotey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0007	D_ADDR+O+IIN	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
313	G515-E0023	G515-S002	f4r	HERBAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G515-E0024	AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
314	G515-E0033	G515-S003	f4r	HERBAL	qotchy	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0034	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
315	G515-E0039	G515-S004	f4r	HERBAL	qotaiin	OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G515-E0040	CH+T+OL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
316	G515-E0059	G515-S005	f4r	HERBAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0060	S+O+IIN	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
317	G515-E0072	G515-S006	f20v	HERBAL	choldy	OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G515-E0073	O+P+Y+DY	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
318	G515-E0084	G515-S007	f20v	HERBAL	oty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0085	OK+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
319	G515-E0090	G515-S007	f20v	HERBAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0091	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
320	G515-E0092	G515-S007	f20v	HERBAL	tolshy	T+OL+SH+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G515-E0093	OT+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
321	G515-E0093	G515-S007	f20v	HERBAL	qotchy	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0094	SH+O	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
322	G515-E0101	G515-S008	f20v	HERBAL	otor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G515-E0102	SH+OL	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
323	G515-E0105	G515-S008	f20v	HERBAL	otchy	OT+CH+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0106	CH+CH+P+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
324	G515-E0138	G515-S008	f20v	HERBAL	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0139	D_ADDR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
325	G515-E0238	G515-S023	f31r	HERBAL	olsheor	OL+SH+E+OR	OL	END	OR	EINHEIT	OR	weiter mit der Einheit als aktuellem Träger	G515-E0239	CARRIER_Q+O+E+K+E+DY	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
326	G515-E0252	G515-S027	f31r	HERBAL	oteor	OT+E+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G515-E0253	AIIN+CH+T+Y	AIIN|Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
327	G515-E0336	G515-S038	f66r	SOURCE_SECTION_T	qotey	OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0337	K+OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
328	G515-E0354	G515-S041	f66r	SOURCE_SECTION_T	rotaiin	R+OT+AIIN	OT	END	AIIN	WERT	AIIN	danach den Wert als nächsten Träger eröffnen	G515-E0355	SH+E+OL	NONE	AIIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Wert.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
329	G515-E0371	G515-S042	f66r	SOURCE_SECTION_T	choty	CH+OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0372	D_ADDR+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
330	G515-E0388	G515-S043	f66r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G515-E0389	OK+CHD+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
331	G515-E0391	G515-S043	f66r	SOURCE_SECTION_T	qoty	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G515-E0392	CHD+IIN+R	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
