transition_serial	statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	entry_boundary_class	exit_boundary_class	pre_state	selected_mnemonic_triggers	observed_triggers	inferred_missing_slots	silent_register_demand	owner_operation	active_item_preparation_operation	target_station_operation	previous_item_operation	operation_trace	post_state	backward_reconstructable_from_post_state_only	backward_reconstructability	irreducible_ambiguity_codes	complete_creative_reading	strongest_source_alternative	source_boundary_triggers	anonymous_id_contract	card_binding_contract	source_lineage
65	B3-S003	B3	f83r	3	F073	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T001;PREVIOUS_ITEM=UNSET	MASS? | ABLASSEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:MASS? | EXACT_SELECTED:ABLASSEN? | CLOSURE:F073:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	CARRY	CARRY	RESUME	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:RESUME(B3:T001;TARGET_SENSITIVE_ACTION)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T001;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 3/38]	NONE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
66	B3-S004	B3	f83r	4	F074	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T001;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F074:OPEN | LOCAL_TARGET_FILLER:LOWER_OUTLET | SOURCE_FROM:B3-LB01:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(B3:T002;LOCAL_LOWER_OUTLET)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T002;PREVIOUS_ITEM=UNSET	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	beginne den nächsten abgemessenen Posten ; zum unteren Ablauf hin ; Daraus, aus demselben Ansatz	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 4/38]	FROM:B3-LB01:RESUME_ACTIVE_ITEM	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
67	B3-S005	B3	f83r	5	F075	RESUME_ACTIVE_ITEM	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T002;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:RESUME_ACTIVE_ITEM | CLOSURE:F075:TERMINAL | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | SOURCE_TO:B3-LB01:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	RESUME	INTRODUCE	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(B3:I001) -> TARGET/STATION:CARRY(B3:T002) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(B3:T003;LOCAL_VESSEL_OR_RUN)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T003;PREVIOUS_ITEM=UNSET	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	SEGMENTATION=CONTINUE_SAME_CLAUSE: Reinigung kann der direkte nächste Bestandteil des begonnenen Postens sein.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 5/38]	TO:B3-LB01:RESUME_ACTIVE_ITEM	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
68	B3-S006	B3	f83r	6	F076	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T003;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F076:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL | LOCAL_PREVIOUS_CUE:TWO_SHARES	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	INTRODUCE	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T003) -> PREVIOUS_ITEM:CARRY(UNSET) -> PREVIOUS_ITEM:INTRODUCE_DERIVED(B3:I002;LOCAL_TWO_SHARES) -> TARGET/STATION:INTRODUCE(B3:T004;LOCAL_COVERED_CATCH_VESSEL)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|TWO_INPUTS_ORDER_AMBIGUOUS	TWO_INPUTS_ORDER_AMBIGUOUS | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	gieße das erwärmte Wasser ein ; mische beide Anteile zusammen ; stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 6/38]	NONE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
69	B3-S007	B3	f83r	7	F077	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F077:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T004) -> PREVIOUS_ITEM:CARRY(B3:I002)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	beginne den nächsten abgemessenen Posten ; rühre, bis alles gleichmäßig vermischt ist ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 7/38]	NONE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
70	B3-S008	B3	f83r	8	F078	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	ABLASSEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ABLASSEN? | CLOSURE:F078:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	CARRY	CARRY	RESUME	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T004) -> PREVIOUS_ITEM:CARRY(B3:I002) -> TARGET/STATION:RESUME(B3:T004;TARGET_SENSITIVE_ACTION)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 8/38]	NONE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
71	B3-S009	B3	f83r	9	F079	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	ANWENDEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F079:OPEN | SOURCE_FROM:B3-LB02:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	CARRY	CARRY	RESUME	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T004) -> PREVIOUS_ITEM:CARRY(B3:I002) -> TARGET/STATION:RESUME(B3:T004;TARGET_SENSITIVE_ACTION)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	Die aktive Portion verwenden	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 9/38]	FROM:B3-LB02:RESUME_ACTIVE_ITEM	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
72	B3-S010	B3	f83r	10	F080	RESUME_ACTIVE_ITEM	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	NONE	BOUNDARY:RESUME_ACTIVE_ITEM | CLOSURE:F080:TERMINAL | SOURCE_TO:B3-LB02:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	RESUME	CARRY	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(B3:I001) -> TARGET/STATION:CARRY(B3:T004) -> PREVIOUS_ITEM:CARRY(B3:I002)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	fülle danach das Gefäß ; lasse es bis zur Klarheit ziehen und beende den Schritt	SEGMENTATION=START_NEW_CLAUSE: F080 kann einen unabhängigen Gefäßposten beginnen.; NONMEDICAL=Mehrbeckenlauf ansetzen [Ganzfeldexemplar B3, Feld 10/38]	TO:B3-LB02:RESUME_ACTIVE_ITEM	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
73	B3-S011	B3	f83r	11	F081	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T004;PREVIOUS_ITEM=B3:I002	ANWENDEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F081:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:B3-LB03:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T004) -> PREVIOUS_ITEM:CARRY(B3:I002) -> TARGET/STATION:INTRODUCE(B3:T005;LOCAL_MARKED_TARGET)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T005;PREVIOUS_ITEM=B3:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	wende es an der markierten Stelle an ; Die aktive Portion verwenden ; rühre, bis alles gleichmäßig vermischt ist ; und lasse es abkühlen	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=durch Stationen führen [Ganzfeldexemplar B3, Feld 11/38]	FROM:B3-LB03:RESUME_ACTIVE_ITEM	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
74	B3-S012	B3	f83r	12	F082	RESUME_ACTIVE_ITEM	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T005;PREVIOUS_ITEM=B3:I002	ANSATZ?	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANSATZ? | CLOSURE:F082:TERMINAL | SOURCE_TO:B3-LB03:RESUME_ACTIVE_ITEM	OWNER	OWNER	CARRY	RESUME	CARRY	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(B3:I001) -> TARGET/STATION:CARRY(B3:T005) -> PREVIOUS_ITEM:CARRY(B3:I002) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(B3:I001;ANSATZ?)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T005;PREVIOUS_ITEM=B3:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	Die bereitete Arbeitsflüssigkeit ; lasse es bis zur Bereitschaft stehen und beende den Schritt	SEGMENTATION=CONTINUE_SAME_CLAUSE: F082 kann ohne Klauselreset der Schlusssatzteil von F081 sein.; NONMEDICAL=durch Stationen führen [Ganzfeldexemplar B3, Feld 12/38]	TO:B3-LB03:RESUME_ACTIVE_ITEM	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
75	B3-S013	B3	f83r	13	F083	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T005;PREVIOUS_ITEM=B3:I002	SPÜLEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F083:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_PREVIOUS_CUE:SAME_SETTING	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	INTRODUCE	RESUME	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T005) -> PREVIOUS_ITEM:CARRY(B3:I002) -> PREVIOUS_ITEM:RESUME(B3:I002;LOCAL_FILLER) -> TARGET/STATION:INTRODUCE(B3:T006;LOCAL_MARKED_TARGET)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T006;PREVIOUS_ITEM=B3:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|PREVIOUS_REFERENT_CLASS_AMBIGUOUS	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	beginne den nächsten abgemessenen Posten ; ein abgemessener Anteil ; unter derselben Einstellung ; spüle die bezeichnete Stelle einmal und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=durch Stationen führen [Ganzfeldexemplar B3, Feld 13/38]	NONE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
76	B3-S014	B3	f83r	14	F084	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T006;PREVIOUS_ITEM=B3:I002	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F084:TERMINAL | LOCAL_TARGET_FILLER:UPPER_RUN	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T006) -> PREVIOUS_ITEM:CARRY(B3:I002) -> TARGET/STATION:INTRODUCE(B3:T007;LOCAL_UPPER_RUN)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T007;PREVIOUS_ITEM=B3:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	öffne danach den oberen Lauf ; wasche einmal und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=durch Stationen führen [Ganzfeldexemplar B3, Feld 14/38]	NONE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
77	B3-S015	B3	f83r	15	F085	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T007;PREVIOUS_ITEM=B3:I002	ABLASSEN?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ABLASSEN? | CLOSURE:F085:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	CARRY	CARRY	RESUME	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T007) -> PREVIOUS_ITEM:CARRY(B3:I002) -> TARGET/STATION:RESUME(B3:T007;TARGET_SENSITIVE_ACTION)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T007;PREVIOUS_ITEM=B3:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=durch Stationen führen [Ganzfeldexemplar B3, Feld 15/38]	NONE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
78	B3-S016	B3	f83r	16	F086|F087	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T007;PREVIOUS_ITEM=B3:I002	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F086:OPEN > F087:TERMINAL | LOCAL_TARGET_FILLER:LOWER_OUTLET | SOURCE_FROM:B3-LB04:CONTINUE_SAME_CLAUSE | SOURCE_TO:B3-LB04:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B3-LB04:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B3:I001) -> TARGET/STATION:CARRY(B3:T007) -> PREVIOUS_ITEM:CARRY(B3:I002) -> TARGET/STATION:INTRODUCE(B3:T008;LOCAL_LOWER_OUTLET)	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I001;TARGET/STATION=B3:T008;PREVIOUS_ITEM=B3:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	schließe den unteren Ablauf || lasse es abkühlen und beende den Schritt	SEGMENTATION=NEXT_PARALLEL_CELL: Abkühlen kann eine unabhängige kurze Zelle sein.; NONMEDICAL=durch Stationen führen [Ganzfeldexemplar B3, Feld 16/38] || durch Stationen führen [Ganzfeldexemplar B3, Feld 17/38]	FROM:B3-LB04:CONTINUE_SAME_CLAUSE | TO:B3-LB04:CONTINUE_SAME_CLAUSE | INTERNAL:B3-LB04:CONTINUE_SAME_CLAUSE	B3:Oxx/B3:Ixxx/B3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
