stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	ordered_literal_reading_de	order_safe_clause_de	dual_channel_reading_de	state_and_clause_match_gdt438
70	G407-E0070	G404-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	os	OS	T0_EXACT_OBSERVED	VORBEZUG	Im laufenden Gang halte den Teilwert [wie zuvor] fest; wie zuvor.	Kernfolge: VORBEZUG. Im laufenden Gang halte den Teilwert [wie zuvor] fest; wie zuvor.	YES
71	G407-E0071	G404-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	teody	T+E+O+DY	T0_EXACT_OBSERVED	EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	Lege den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung; schließe den Schritt.	Kernfolge: EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS. Lege den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung; schließe den Schritt.	YES
72	G407-E0072	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ydain	Y+AIN	T0_EXACT_OBSERVED	POSTEN · ANTEIL	Bezug: den laufenden Eintrag und den Teilwert.	Kernfolge: POSTEN · ANTEIL. Bezug: den laufenden Eintrag und den Teilwert.	YES
73	G407-E0073	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphesaiin	CH+P+E+S+AIIN	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · GRAD I · WÄHLEN · WERT	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; auf Grad I.	Kernfolge: NEHMEN · EINSETZEN · GRAD I · WÄHLEN · WERT. Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; auf Grad I.	YES
74	G407-E0074	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ols	OL+S	T0_EXACT_OBSERVED	FORTSETZEN · WÄHLEN	Weiter wähle den Kennwert [wie zuvor].	Kernfolge: FORTSETZEN · WÄHLEN. Weiter wähle den Kennwert [wie zuvor].	YES
75	G407-E0075	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphey	CH+P+E+Y	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · GRAD I · POSTEN	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.	Kernfolge: NEHMEN · EINSETZEN · GRAD I · POSTEN. Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; auf Grad I.	YES
76	G407-E0076	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ytain	Y+T+AIN	T0_EXACT_OBSERVED	POSTEN · EINSTELLEN · ANTEIL	Lege den laufenden Eintrag und den Teilwert fest.	Kernfolge: POSTEN · EINSTELLEN · ANTEIL. Lege den laufenden Eintrag und den Teilwert fest.	YES
77	G407-E0077	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shoshy	SH+O+SH+Y	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · HALTEN · POSTEN	Halte den laufenden Eintrag fest und halte den laufenden Eintrag fest; als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG · HALTEN · POSTEN. Halte den laufenden Eintrag fest und halte den laufenden Eintrag fest; als Ausführung.	YES
78	G407-E0078	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodal	CH+P+O+D_ADDR+AL	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · ZIELORT	Entnimm den laufenden Eintrag [wie zuvor] und setze den laufenden Eintrag [wie zuvor] ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	Kernfolge: NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · ZIELORT. Entnimm den laufenden Eintrag [wie zuvor] und setze den laufenden Eintrag [wie zuvor] ein; zur Zielspalte; als Ausführung; an der bezeichneten Stelle.	YES
79	G407-E0079	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	es	E+S	T0_EXACT_OBSERVED	GRAD I · WÄHLEN	Wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Kernfolge: GRAD I · WÄHLEN. Wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	YES
80	G407-E0080	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oksho	OK+SH+O	T0_EXACT_OBSERVED	SETZEN · HALTEN · AUSFÜHRUNG	Trage den laufenden Eintrag [wie zuvor] ein und halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	Kernfolge: SETZEN · HALTEN · AUSFÜHRUNG. Trage den laufenden Eintrag [wie zuvor] ein und halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	YES
81	G407-E0081	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kshoy	K+SH+O+Y	T0_EXACT_OBSERVED	GEBEN · HALTEN · AUSFÜHRUNG · POSTEN	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung.	Kernfolge: GEBEN · HALTEN · AUSFÜHRUNG · POSTEN. Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; als Ausführung.	YES
82	G407-E0082	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	otairin	OT+AIR+IIN	T0_EXACT_OBSERVED	DANACH · BAHN · STUFE	Danach im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; auf der bezeichneten Stufe.	Kernfolge: DANACH · BAHN · STUFE. Danach im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; auf der bezeichneten Stufe.	YES
83	G407-E0083	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oteol	OT+E+OL	T0_EXACT_OBSERVED	DANACH · GRAD I · FORTSETZEN	Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	Kernfolge: DANACH · GRAD I · FORTSETZEN. Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	YES
84	G407-E0084	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	okan	OK+AN	T0_EXACT_OBSERVED	SETZEN · KLASSE	Trage den laufenden Eintrag [wie zuvor] ein; in der bezeichneten Klasse.	Kernfolge: SETZEN · KLASSE. Trage den laufenden Eintrag [wie zuvor] ein; in der bezeichneten Klasse.	YES
85	G407-E0085	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shodain	SH+O+D_ADDR+AIN	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · HIER · ANTEIL	Halte den Teilwert fest; als Ausführung; an der bezeichneten Stelle.	Kernfolge: HALTEN · AUSFÜHRUNG · HIER · ANTEIL. Halte den Teilwert fest; als Ausführung; an der bezeichneten Stelle.	YES
86	G407-E0086	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sckhey	S+CH+K+E+Y	T0_EXACT_OBSERVED	WÄHLEN · NEHMEN · GEBEN · GRAD I · POSTEN	Wähle den laufenden Eintrag, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Kernfolge: WÄHLEN · NEHMEN · GEBEN · GRAD I · POSTEN. Wähle den laufenden Eintrag, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	YES
87	G407-E0087	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	daiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang ordne den Kennwert zu.	Kernfolge: WERT. Im laufenden Gang ordne den Kennwert zu.	YES
88	G407-E0088	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shoy	SH+O+Y	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · POSTEN	Halte den laufenden Eintrag fest; als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG · POSTEN. Halte den laufenden Eintrag fest; als Ausführung.	YES
89	G407-E0089	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ckhey	CH+K+E+Y	T0_EXACT_OBSERVED	NEHMEN · GEBEN · GRAD I · POSTEN	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Kernfolge: NEHMEN · GEBEN · GRAD I · POSTEN. Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	YES
90	G407-E0090	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kodaiin	K+O+D_ADDR+AIIN	T0_EXACT_OBSERVED	GEBEN · AUSFÜHRUNG · HIER · WERT	Ordne den Kennwert zu; als Ausführung; an der bezeichneten Stelle.	Kernfolge: GEBEN · AUSFÜHRUNG · HIER · WERT. Ordne den Kennwert zu; als Ausführung; an der bezeichneten Stelle.	YES
91	G407-E0091	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphy	CH+P+Y	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · POSTEN	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.	Kernfolge: NEHMEN · EINSETZEN · POSTEN. Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein.	YES
92	G407-E0092	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	T0_EXACT_OBSERVED	NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · WERT · VERBINDUNG · WÄHLEN	Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	Kernfolge: NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · WERT · VERBINDUNG · WÄHLEN. Entnimm den Kennwert, setze den Kennwert ein und wähle den Kennwert; über die Eintragsverbindung; als Ausführung; an der bezeichneten Stelle.	YES
93	G407-E0093	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cthey	CH+T+E+Y	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · GRAD I · POSTEN	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I.	Kernfolge: NEHMEN · EINSTELLEN · GRAD I · POSTEN. Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I.	YES
94	G407-E0094	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sho	SH+O	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG. Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	YES
95	G407-E0095	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oldain	OL+AIN	T0_EXACT_OBSERVED	FORTSETZEN · ANTEIL	Weiter im laufenden Gang halte den Teilwert fest.	Kernfolge: FORTSETZEN · ANTEIL. Weiter im laufenden Gang halte den Teilwert fest.	YES
96	G407-E0096	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	d	D_ADDR	T0_EXACT_OBSERVED	HIER	Im laufenden Gang halte den Teilwert [wie zuvor] fest; an der bezeichneten Stelle.	Kernfolge: HIER. Im laufenden Gang halte den Teilwert [wie zuvor] fest; an der bezeichneten Stelle.	YES
97	G407-E0097	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	dain	AIN	T0_EXACT_OBSERVED	ANTEIL	Im laufenden Gang halte den Teilwert fest.	Kernfolge: ANTEIL. Im laufenden Gang halte den Teilwert fest.	YES
98	G407-E0098	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oiin	O+IIN	T0_EXACT_OBSERVED	AUSFÜHRUNG · STUFE	Im laufenden Gang halte den Teilwert [wie zuvor] fest; als Ausführung und auf der bezeichneten Stufe.	Kernfolge: AUSFÜHRUNG · STUFE. Im laufenden Gang halte den Teilwert [wie zuvor] fest; als Ausführung und auf der bezeichneten Stufe.	YES
99	G407-E0099	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	YES
100	G407-E0100	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	odaiin	O+D_ADDR+AIIN	T0_EXACT_OBSERVED	AUSFÜHRUNG · HIER · WERT	Im laufenden Gang halte den Kennwert fest; als Ausführung; an der bezeichneten Stelle.	Kernfolge: AUSFÜHRUNG · HIER · WERT. Im laufenden Gang halte den Kennwert fest; als Ausführung; an der bezeichneten Stelle.	YES
101	G407-E0101	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chodain	CH+O+D_ADDR+AIN	T0_EXACT_OBSERVED	NEHMEN · AUSFÜHRUNG · HIER · ANTEIL	Entnimm den Teilwert; als Ausführung; an der bezeichneten Stelle.	Kernfolge: NEHMEN · AUSFÜHRUNG · HIER · ANTEIL. Entnimm den Teilwert; als Ausführung; an der bezeichneten Stelle.	YES
102	G407-E0102	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chdy	CHD+Y	T0_EXACT_OBSERVED	BEARBEITEN · POSTEN	Bearbeite den laufenden Eintrag.	Kernfolge: BEARBEITEN · POSTEN. Bearbeite den laufenden Eintrag.	YES
103	G407-E0103	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	okain	OK+AIN	T0_EXACT_OBSERVED	SETZEN · ANTEIL	Trage den Teilwert ein.	Kernfolge: SETZEN · ANTEIL. Trage den Teilwert ein.	YES
104	G407-E0104	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	dn	D_ADDR+AN	T0_EXACT_OBSERVED	HIER · KLASSE	Im laufenden Gang trage den Teilwert [wie zuvor] ein; an der bezeichneten Stelle und in der bezeichneten Klasse.	Kernfolge: HIER · KLASSE. Im laufenden Gang trage den Teilwert [wie zuvor] ein; an der bezeichneten Stelle und in der bezeichneten Klasse.	YES
105	G407-E0105	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cthy	CH+T+Y	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · POSTEN	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	Kernfolge: NEHMEN · EINSTELLEN · POSTEN. Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	YES
106	G407-E0106	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kod	K+O+D_ADDR	T0_EXACT_OBSERVED	GEBEN · AUSFÜHRUNG · HIER	Ordne den laufenden Eintrag [wie zuvor] zu; als Ausführung; an der bezeichneten Stelle.	Kernfolge: GEBEN · AUSFÜHRUNG · HIER. Ordne den laufenden Eintrag [wie zuvor] zu; als Ausführung; an der bezeichneten Stelle.	YES
107	G407-E0107	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	daiin	AIIN	T0_EXACT_OBSERVED	WERT	Im laufenden Gang ordne den Kennwert zu.	Kernfolge: WERT. Im laufenden Gang ordne den Kennwert zu.	YES
108	G407-E0108	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shckhey	SH+CH+K+E+Y	T0_EXACT_OBSERVED	HALTEN · NEHMEN · GEBEN · GRAD I · POSTEN	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Kernfolge: HALTEN · NEHMEN · GEBEN · GRAD I · POSTEN. Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	YES
109	G407-E0109	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	eo	E+O	T0_EXACT_OBSERVED	GRAD I · AUSFÜHRUNG	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und als Ausführung.	Kernfolge: GRAD I · AUSFÜHRUNG. Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und als Ausführung.	YES
110	G407-E0110	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	r	R	T0_EXACT_OBSERVED	MARKIEREN	Kennzeichne den laufenden Eintrag [wie zuvor].	Kernfolge: MARKIEREN. Kennzeichne den laufenden Eintrag [wie zuvor].	YES
111	G407-E0111	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	char	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor]; von der Ausgangszeile.	Kernfolge: AUSGANG. Im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor]; von der Ausgangszeile.	YES
112	G407-E0112	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shey	SH+E+Y	T0_EXACT_OBSERVED	HALTEN · GRAD I · POSTEN	Halte den laufenden Eintrag fest; auf Grad I.	Kernfolge: HALTEN · GRAD I · POSTEN. Halte den laufenden Eintrag fest; auf Grad I.	YES
113	G407-E0113	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kol	K+OL	T0_EXACT_OBSERVED	GEBEN · FORTSETZEN	Weiter ordne den laufenden Eintrag [wie zuvor] zu.	Kernfolge: GEBEN · FORTSETZEN. Weiter ordne den laufenden Eintrag [wie zuvor] zu.	YES
114	G407-E0114	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	YES
115	G407-E0115	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	YES
116	G407-E0116	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kor	K+OR	T0_EXACT_OBSERVED	GEBEN · EINHEIT	Ordne die Eintragseinheit zu.	Kernfolge: GEBEN · EINHEIT. Ordne die Eintragseinheit zu.	YES
117	G407-E0117	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chal	CH+AL	T0_EXACT_OBSERVED	NEHMEN · ZIELORT	Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte.	Kernfolge: NEHMEN · ZIELORT. Entnimm die Eintragseinheit [wie zuvor]; zur Zielspalte.	YES
118	G407-E0118	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sho	SH+O	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG	Halte die Eintragseinheit [wie zuvor] fest; als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG. Halte die Eintragseinheit [wie zuvor] fest; als Ausführung.	YES
119	G407-E0119	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	T0_EXACT_OBSERVED	FORTSETZEN	Weiter im laufenden Gang halte die Eintragseinheit [wie zuvor] fest.	Kernfolge: FORTSETZEN. Weiter im laufenden Gang halte die Eintragseinheit [wie zuvor] fest.	YES
120	G407-E0120	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shodan	SH+O+D_ADDR+AN	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG · HIER · KLASSE	Halte die Eintragseinheit [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	Kernfolge: HALTEN · AUSFÜHRUNG · HIER · KLASSE. Halte die Eintragseinheit [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle und in der bezeichneten Klasse.	YES
121	G407-E0121	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kshy	K+SH+Y	T0_EXACT_OBSERVED	GEBEN · HALTEN · POSTEN	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest.	Kernfolge: GEBEN · HALTEN · POSTEN. Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest.	YES
122	G407-E0122	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kchy	K+Y	T0_EXACT_OBSERVED	GEBEN · POSTEN	Ordne den laufenden Eintrag zu.	Kernfolge: GEBEN · POSTEN. Ordne den laufenden Eintrag zu.	YES
123	G407-E0123	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	d	D_ADDR	T0_EXACT_OBSERVED	HIER	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; an der bezeichneten Stelle.	Kernfolge: HIER. Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; an der bezeichneten Stelle.	YES
124	G407-E0124	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	or	OR	T0_EXACT_OBSERVED	EINHEIT	Im laufenden Gang ordne die Eintragseinheit zu.	Kernfolge: EINHEIT. Im laufenden Gang ordne die Eintragseinheit zu.	YES
125	G407-E0125	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chodaiin	CH+O+D_ADDR+AIIN	T0_EXACT_OBSERVED	NEHMEN · AUSFÜHRUNG · HIER · WERT	Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	Kernfolge: NEHMEN · AUSFÜHRUNG · HIER · WERT. Entnimm den Kennwert; als Ausführung; an der bezeichneten Stelle.	YES
126	G407-E0126	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sho	SH+O	T0_EXACT_OBSERVED	HALTEN · AUSFÜHRUNG	Halte den Kennwert [wie zuvor] fest; als Ausführung.	Kernfolge: HALTEN · AUSFÜHRUNG. Halte den Kennwert [wie zuvor] fest; als Ausführung.	YES
127	G407-E0127	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	koeam	K+O+E+AM_ADDR	T0_EXACT_OBSERVED	GEBEN · AUSFÜHRUNG · GRAD I · HIER	Ordne den Kennwert [wie zuvor] zu; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Kernfolge: GEBEN · AUSFÜHRUNG · GRAD I · HIER. Ordne den Kennwert [wie zuvor] zu; als Ausführung und auf Grad I; an der bezeichneten Stelle.	YES
128	G407-E0128	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ycho	Y+CH+O	T0_EXACT_OBSERVED	POSTEN · NEHMEN · AUSFÜHRUNG	Entnimm den laufenden Eintrag; als Ausführung.	Kernfolge: POSTEN · NEHMEN · AUSFÜHRUNG. Entnimm den laufenden Eintrag; als Ausführung.	YES
129	G407-E0129	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	tchey	T+CH+E+Y	T0_EXACT_OBSERVED	EINSTELLEN · NEHMEN · GRAD I · POSTEN	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	Kernfolge: EINSTELLEN · NEHMEN · GRAD I · POSTEN. Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES
130	G407-E0130	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chekain	CH+K+AIN	T0_EXACT_OBSERVED	NEHMEN · GEBEN · ANTEIL	Entnimm den Teilwert und ordne den Teilwert zu.	Kernfolge: NEHMEN · GEBEN · ANTEIL. Entnimm den Teilwert und ordne den Teilwert zu.	YES
131	G407-E0131	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sheo	SH+E+O	T0_EXACT_OBSERVED	HALTEN · GRAD I · AUSFÜHRUNG	Halte den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung.	Kernfolge: HALTEN · GRAD I · AUSFÜHRUNG. Halte den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung.	YES
132	G407-E0132	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	pshol	P+SH+OL	T0_EXACT_OBSERVED	EINSETZEN · HALTEN · FORTSETZEN	Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	Kernfolge: EINSETZEN · HALTEN · FORTSETZEN. Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	YES
133	G407-E0133	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	dydyd	Y+DY+D_LABEL	T0_EXACT_OBSERVED	POSTEN · SCHLUSS · HIER	Im laufenden Gang halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	Kernfolge: POSTEN · SCHLUSS · HIER. Im laufenden Gang halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	YES
134	G407-E0134	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cthy	CH+T+Y	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · POSTEN	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	Kernfolge: NEHMEN · EINSTELLEN · POSTEN. Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	YES
135	G407-E0135	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	daiy	D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	T0_EXACT_OBSERVED	HIER · HIER · VARIANTE · POSTEN	Im laufenden Gang lege den laufenden Eintrag fest; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Kernfolge: HIER · HIER · VARIANTE · POSTEN. Im laufenden Gang lege den laufenden Eintrag fest; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	YES
136	G407-E0136	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	yto	Y+T+O	T0_EXACT_OBSERVED	POSTEN · EINSTELLEN · AUSFÜHRUNG	Lege den laufenden Eintrag fest; als Ausführung.	Kernfolge: POSTEN · EINSTELLEN · AUSFÜHRUNG. Lege den laufenden Eintrag fest; als Ausführung.	YES
137	G407-E0137	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shol	SH+OL	T0_EXACT_OBSERVED	HALTEN · FORTSETZEN	Weiter halte den laufenden Eintrag [wie zuvor] fest.	Kernfolge: HALTEN · FORTSETZEN. Weiter halte den laufenden Eintrag [wie zuvor] fest.	YES
138	G407-E0138	G404-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	she	SH+E	T0_EXACT_OBSERVED	HALTEN · GRAD I	Halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	Kernfolge: HALTEN · GRAD I. Halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	YES
